start	end	text
0	6000	小王子的英文太好了
6000	8000	这就是新中国联盟
31000	35000	为什么CCP太害怕,就是Gator
35000	42000	他们银行银行一天一星期都不能消失
42000	47000	但为什么美国没有人说什么
47000	50000	因为Gator是美国公司
50000	53000	还有一些人问我
53000	57000	为什么银行银行银行银行银行银行银行银行银行银行银行银行银行银行银行银行银行
58000	61000	美国没有防卫
61000	64000	我们是美国人,我们是中央
64000	67000	我们是国家安全
67000	70000	我们是防卫
70000	73000	没有人做这些
73000	76000	这就是国家安全
76000	79000	他们说这就是美国最安全的选举
79000	82000	就算是根据资料
82000	85000	麦克林德尔会给你示范
85000	88000	这是我们的专业
88000	91000	在2015年
91000	95000	我在北京大军大学
95000	98000	我是第二位
98000	100000	我的家庭是财务人
100000	103000	CCP是江泽民家庭的王恩哥
103000	106000	大学是前任
106000	109000	30年的课程
109000	112000	在斯坦福是高级教授
112000	115000	还有他的妻子
115000	118000	在斯坦福是美国的高级教授
118000	121000	30年
121000	124000	他们是物理核科学家
124000	127000	他们是物理核科学家
127000	130000	他们是物理核科学家
130000	133000	他们是物理核科学家
133000	136000	他们是物理核科学家
136000	139000	妻子和他
140000	143000	他们是美国的高级教授
143000	146000	他们是美国的高级教授
146000	149000	他们是美国的高级教授
149000	152000	他们是美国的高级教授
152000	155000	他们是美国的高级教授
155000	158000	他们是美国的高级教授
158000	161000	他们是美国的高级教授
161000	164000	他们是美国的高级教授
164000	167000	他们是美国的高级教授
167000	170000	7月2号
170000	173000	2012年我捐给北京大学
173000	176000	10亿人民币现金
197000	200000	中国在中国资源码
200000	203000	中国在中国资源码
203000	206000	还有这个多米尼
206000	209000	还有这个多米尼
215000	218000	还有这个多米尼
218000	221000	中国快乐
221000	224000	中国快乐
224000	228500	還有這個多米尼 軟件的創始者
241500	246000	文貴先生說 今天早上很多美國人跟文貴先生發信息
246000	249000	說共產黨為什麼這麼恐懼蓋特這個平台
249000	255000	然後說這個共產黨為什麼美國沒有任何能力去阻止共產黨這個駭客
255000	257000	然後文貴先生提到說現在我們在的這個地方
257000	261000	美國紐約曼哈頓的中心 國土安全部FBI都在這裡
261000	263000	這應該是美國最安全的地方
263000	267000	但是共產黨卻是能夠成功的把我們這個平台給駭客掉
267000	269000	然後班農先生說到說
269000	273000	然後文貴先生還提到說該就是一個美國的一個公司
273000	276000	然後受美國的法律的保護 受美國國家的保護
276000	279000	但是共產黨還是這麼肆無忌憚的駭客我們的平台
279000	282000	然後班農先生說說這個國土安全部是同一個
282000	287000	說2020年大選是全世界最安全的大選的這個國土安全部
287000	289000	非常有諷刺意義的一個事情
289000	293000	那麼文貴先生說到說2015年這個方正集團
293000	301000	這個王豐哥和他的妻子在斯坦福大學都是30年的這個經歷
301000	305000	專門學這個物理還有核科學的
305000	308000	那麼在這個2012年的7月2號
308000	314000	文貴先生是有史以來第一個也是唯一一個10億人民幣現金捐贈給北京大學的人
314000	319000	但是在2015年的這個這個北京的這些人就跟文貴先生翻臉
319000	322000	要把文貴先生所有的資產都都這個查封
322000	330000	然後最近我們看到了這個整個方正集團3000億的整個這個資產的方正集團完全的這個倒塌
330000	334000	然後方正集團是控制了中國這些輸入軟件原代碼的
334000	339000	包括他創造了美國多米尼的這個這個投票的這個系統
364000	369000	OK Sir, I want you, you know, talk, you know, we have a lot of people
369000	372000	I think near 670,000 now people
372000	376000	So any Chinese need now
376000	382000	It's 1776
382000	385000	You know, it's the, it's the Henry Lee
385000	387000	It's the maker announce
387000	388000	Xuan Yan
388000	391000	See, this is the Independence Day
391000	392000	Decoration
392000	395000	Then as America is totally change
395000	397000	Then is the Ludo Island
397000	398000	Right in the Ludo Island
398000	401000	They have the, you know, it have the law
401000	403000	This is the American independence
403000	404000	You look at us
404000	405000	Amazing
405000	406000	You know, make American
406000	408000	This is the, you know, great country
408000	409000	Leading the world
409000	411000	It's the 200 years
411000	413000	Of the World War Two
413000	416000	Because American take down the Hitler Japan
416000	418000	You know, the, you know, this army
418000	420000	Create a group of dictator
420000	422000	Risks the world
422000	423000	Of the World War Two
423000	425000	Globally the people human
425000	427000	The human rights
427000	430000	Misery
430000	433000	It's lower than 10,000 years
433000	435000	整個人類的死亡率和災難
435000	436000	來自於災難
436000	439000	自然和戰爭的死亡率
439000	441000	從過去的平均是50%
441000	442000	甚至高於50
442000	443000	直接到了50%
443000	444000	是人類從來沒有的
444000	445000	人類的文明
445000	448000	人類的所有的科技發展
448000	449000	這一百年
449000	451000	是人類過去萬年的總和
451000	452000	可以說是
452000	453000	交通科技
453000	454000	醫藥
454000	455000	地震
455000	456000	自然災害
456000	458000	由於發明了飛機汽車
458000	459000	交通海洋
459000	460000	空中雷達
460000	461000	等等
461000	462000	而且人類向了太空發展
462000	464000	所以美國這個國家呢
464000	466000	它把地球變成了一個村
466000	468000	讓大家來共享地
468000	469000	當然不是完美的
469000	470000	而共產黨把自己
470000	473000	這個國變成了一個家
473000	474000	變成北朝鮮
474000	475000	都成了幾家館子
475000	476000	而美國
476000	478000	雖然是世界最大的強國
478000	480000	也有很貪婪的一面
480000	481000	但它畢竟讓人類
481000	483000	在享受這種科技
483000	484000	和現在的文明
484000	485000	和宗教
485000	486000	和信仰的自由
486000	487000	還有民主
487000	489000	這是重大的不同的意義
489000	491000	為什麼共產黨
491000	492000	它就看不明白
492000	493000	為什麼美國
493000	495000	卻支持共產黨這樣
495000	497000	你要給班農先生歡迎
506000	508000	他在1976年
508000	510000	當美國的創始父親
510000	512000	宣誓了獨立
512000	513000	它改變了美國
513000	514000	它改變了歷史
514000	515000	它改變了美國的歷史
515000	517000	美國在200年代
517000	518000	能夠領導世界
518000	521000	超過200年
521000	523000	美國能夠打敗納西人
523000	525000	在世界第二次世界大戰
525000	528000	超過100年
528000	530000	科技的進步
530000	531000	和成就
531000	532000	無論是文化
532000	536000	文化、民主、政治、經濟
536000	537000	在過去100年來
537000	539000	我們做出的所有進步
539000	544000	是超過10,000年
544000	546000	我們能夠達成的
546000	548000	我們能夠降低
548000	550000	人類的死亡率
550000	554000	從50%到15%
554000	556000	在過去100年來
556000	558000	死亡率降低了
558000	560000	人類在過去100年來
560000	561000	人類在過去100年來
561000	562000	死亡率降低了
562000	563000	人類在過去10,000年來
563000	566000	所以美國能夠
566000	568000	把世界轉成一個小村
568000	570000	能夠讓世界的自由
570000	571000	和民主和自由
571000	572000	都傳遍世界
572000	574000	但CCP會把整個國家
574000	576000	變成全世界
576000	577000	變成全世界
577000	582000	他們一人一人
582000	584000	那是會破壞了
584000	586000	中國文化
586000	587000	那是會破壞了
587000	589000	世界文化
589000	590000	中國文化
590000	591000	不是他們
591000	592000	他們怎麼講
592000	594000	他們說
594000	600000	所以他不能夠理解
600000	602000	CCP不懂解
602000	603000	這個非常簡單的事情
603000	605000	是如果你可以讓人們
605000	607000	如果你可以讓人們自由
607000	609000	如果你能讓他們做自己的事
609000	611000	那人民就會改變自己的
611000	612000	技術發展
612000	614000	然後他也說
614000	616000	美國將會在未來
616000	617000	明白這種事
617000	618000	如果我們在中國
618000	622000	我們給中國人民自由,大家就會變得更好
641000	645000	謝偉廷說得很好,他說得很像我們的技術師
645000	659000	昨天我們不直播了,但是由於我知道共產黨要黑客我們,我說班農先生我們得直播
659000	665000	這個事我馬上直播,所以就沒準備,希望大家能夠原諒,抱歉
675000	679000	有很多原因,美國在這裏有著很大的目光
679000	683000	我們回顧這份文章,寫在1776年
683000	689000	我認為最有力量的部分是,你的權利是由上帝來的
689000	692000	你的權利不是由上帝來的
692000	696000	你的權利不是由美國總統來的,而是由政府來的
696000	701000	沒有政府,沒有人類的機器,是由上帝來的
702000	704000	你的權利是由上帝來的
704000	705000	你的權利是由上帝來的
705000	706000	你的權利是由上帝來的
706000	707000	你的權利是由上帝來的
707000	708000	你的權利是由上帝來的
708000	709000	你的權利是由上帝來的
709000	710000	你的權利是由上帝來的
710000	711000	你的權利是由上帝來的
711000	712000	你的權利是由上帝來的
712000	713000	你的權利是由上帝來的
713000	714000	你的權利是由上帝來的
714000	715000	你的權利是由上帝來的
715000	716000	你的權利是由上帝來的
716000	717000	你的權利是由上帝來的
717000	718000	你的權利是由上帝來的
718000	719000	你的權利是由上帝來的
719000	720000	你的權利是由上帝來的
720000	721000	你的權利是由上帝來的
722000	723000	對嗎
723000	725000	這就是美國對全人類說的
725000	727000	一代的權力
727000	729000	中國人看起來
729000	731000	生活、自由、幸福的追求
731000	732000	生活
732000	733000	中國共產黨
