start	end	text
0	15280	6月26号 尊敬的战友们好
15820	21080	你们减神了吗 传播CC运动香港危机真相了吗
21600	26000	尊敬的战友们好 今天这纽约好近啊 周末的
26880	30600	哎呀 我的妈呀 大家看看这两天啊
31240	36960	全世界谈台湾的话题 已经不仅仅是所谓的政府啊
37360	41400	就这么官方的聊聊 外交口实聊聊了啊
42040	47440	现在是企业界 金融界也都在聊 为什么
48160	53280	因为台湾的技术 台湾的科技和台湾的金融
53680	59960	和美国欧洲紧紧相连 台湾没有蓝金黄
60280	66560	台湾用科技 金融关系 和世界还有文化紧紧的连在了一起
67280	70000	所以说人家台湾是受尊重的嘛 对吧
70400	73440	这个很多人就觉得台湾这个地方需要保护啊
73760	76840	这就是好事 这就是台湾政府需要做的啊
77160	81800	你要让全世界知道台湾人民处在极度的危险之中
81800	88280	被流氓所恐吓着啊 这是很重要的 希望台湾安全吧
88720	92520	但是是各种内部消息看来不看好啊
93640	99400	很大的可能这个要开战 而且是摧毁性的 摧毁性的
99880	104800	这个这些消息啊 都希望是假的 都不要兑现
104800	107480	一旦成真的就对台湾是个真的灾难
107920	111680	但是这个世界对共产党的流氓属性的认知
112520	115880	那是非常天真的 非常天真 很可怕
116720	121160	你都不知道他们咋想的 有时候他们想的简直是善良的不行了
121560	125560	甚至打台湾之前给台湾人把家给搬了 这不是那回事
126680	129760	另外一个比特币 大家看到这个比特币啊
130280	137400	这个据说某国开始已经是掌握了巨额巨大的证据
138000	144600	也是非常立体性的证据 就是比特币头一段时间
145200	151080	共产党的海外十大十大中华公司啊 参与了炒作比特币
151800	156440	而且将比特币抽走 最后钱进来以后啊
156760	160800	然后呢这个共产党又制定了杀死比特币的政策
161280	165680	这完全是四个流氓国家联合的洗钱
166400	173800	和敲诈犯罪的这么一次全球的行动 这是好事
174760	180960	全球数字货币 整个世界的数字货币的江山将重新整理
181840	189320	未来的合法的 安全的 真正的 中心化的国际流通的货币
189560	194320	应运而生啊 这就是洗币的安全和洗币的未来
194720	196160	老天在帮我们
197360	203720	另外一个 据说下周 美国政府还有川普总统
203720	208000	都有一系列的行动 对这大的社交媒体公司
208320	209960	都有一系列的行动
211160	218000	这对我们来讲 G-News GTV 啊 盖特啊 这都是天大的好事
218840	220360	咋办呢 咋办呢
221520	225120	另外一个 香港 兄弟姐妹们现在注意到了吗
225120	230000	最近这几天香港 除了政府换人 最重要的干什么
231320	236000	香港也查地 也查地 谁储存的地最多
237000	241680	谁手里的地资源最多 这也在查 这也是个现象
248080	254240	所以说 在大陆啊 搞完地主 现在又往香港去搞地主去了
254880	257000	然后呢 现在要搞香港人的钱
257280	261280	不要搞 不但搞香港人的人 还要搞香港人的钱
261280	263440	你咋弄嘞 你说你咋弄嘞
264480	268760	然后呢 香港的这个几个大地产商的哥们跟我说
268760	274200	哎呀 文贵呀 Miles 这一天终于来了
275200	279360	我说 你们也离不开香港 就和共产党同归于尽吧
280560	282800	想了那么多年福了 是吧
282800	287680	在香港你以为他当什么香港王 能当一辈子吗
287680	292520	不可能的 充满了天真和幻想 出卖香港
293520	300160	或者说 跟共产党配合 搞毁香港 那你是要付出代价的
301160	305720	香港那些孩子 都是爹妈生的 上大街上去 是吧
305720	310320	为你们争取自由 法治 安全 事实上保护了你们这些家族
311200	315920	你们不帮钱 不帮说话 还有时候还出卖他们
316560	321080	那这一天是一定会到来的 是吧 那可没得讲呢
322120	326400	另外一个共产党的这个百年大寿 百年名寿啊
326920	331360	百年名寿 在他到来的同一天 也就是7月1号
332360	338080	我们要搬进新的办公室 7月1号那天 七哥也要直播直播
339160	343080	咱们要有一个新的办公室启用 我们要直播一下
344560	348800	然后7月4号 盖特正式上线 是吧
