start	end	text
0	9740	这股力量就像你昨天说的钱啊、秘密啊、丑闻啊、家族啊、资产啊,全被那些弄上了,那个多大呀?
9740	19740	现在买嘎子,买嘎子,现在知道老子老跟你想当共和党,你看川普老总统老想穿上共和党的衣裳,共和党就没人看他顺眼。
19740	26880	我见过共和党就一说川普的这种不孝,就像北京的那些地产商看郭文贵一样。
27480	38660	谁啊?郭文贵,他接谁啊?什么干部啊?是哪个系统的啊?不是四方面军啊?也不是胡家的人,也不是邓家人。
38660	41900	就一模一样,看不上郭文贵,一模一样。
41900	47100	然后你说我民主党好,人家老说这什么玩意你们不好,又不给我们捐钱,就滚一边去。
47100	50940	那他哪边都无视,他现在找到地方了,买嘎子。
50940	55300	所以说今天咱们见证历史就在这儿呢。
56880	65340	对,所以说这两天咱们说班农采访这个大主教,你想想,是不是?
65340	70820	人类文明的认证体系就是来自于梵蒂冈教廷。
70820	83940	因为别人往上追,现在226代第一代是耶稣的什么,耶稣的弟子彼得,耶稣是上帝之子,是不是?可以复活的。
83940	91040	那这概念你想想,并且2000多年直接不断香火,香火不断一直延续下去。
91040	99080	我今天做节目就说了,如果你搞一个组织,你别说2000多年,你就1000年都延续下去不断。
99080	107160	你想想这是什么样的实力啊?1000年前你在北京城哪怕有一块地可能最多5两黄金,
107160	115020	现在那至少上千亿,是不是?这就是他这个组织,2000年都不断。
115020	126460	所以你想想这个他去支持班农,愿意接受班农的采访,并且里面明确的说拜登就是邪恶之子,黑暗力量。
126460	133260	明确说梵蒂哥他们教宗,他的教宗他都敢说,你说这个人权力多牛啊。
133260	144120	并且直接说共产党,共产中共,共产主义,所以这就是大家看到这个现在啊,这个很多谜底啊逐渐揭开。
144120	161320	川普总统只要有这个他的支持,以及就是罗马教宗啊,就是罗马教廷的啊,就梵蒂岗教廷的这种力量的支持的话,那真的,那力量就太强大了,对不对?
162320	173980	另外一个我觉得路德先生你讲这个,你还要讲特别好的哪儿呢?除了资产的延续,和这个情报信息秘密的延续,这个世界上就是说,
173980	182380	真的是你讲特别好,就是世界上没有比掌握别人的秘密全世界大的,你能掌握总统的秘密,你就控制了总统,
182440	191440	你掌握一个国家的秘密,你就控制了国家,你掌握一个教廷的秘密,你就控制了教廷,控制了二十几个人口,全球一大半的信徒。
191440	199440	那世界上合法掌握人秘密的,只有罗马教宗这个就是梵蒂岗,他是全球化的,不分种族,不分地方的。
199440	208740	只要是阳光能照射到的地方,在地球上的地方,甚至地球之外的,包括另外的地方,都有可能,都有他们的力量的存在。
209100	220100	这就是为什么他的东西是不可征服的,就是你征服任何一个人,你也不可能把他这个组织和他几千年的延续的文明,两千多年,和他的秘密,还有他的权力和财富分开,是不可能的。
220100	236100	还有一个更重要的,现在我们大家看到的就是所谓今天的克隆人啊,还有这干细胞啊,还有这种整个生命、医疗,所有人类最好的东西,最好的科技,所有的受用者都是这些人。
