start	end	text
0	2800	那个地位就是战友所有的习俗
2800	4800	然后到时候会铺门
4800	7200	所以说现在大家先尽快转达
7200	10000	然后尽可能的战友到的时候
10000	12000	然后太多的话就会锁门
12000	13500	比如说银哥会锁门
13500	14500	银哥也到了
14500	19600	然后所有附近的战友请调整好您的麦克风
19600	22800	保持周边的一个安页
22800	25800	然后支持对国际上的一个尊严的战友尊重
25800	27800	然后调整好您的麦克风
27800	29400	如果您的麦克风不好
29400	30600	会马上帮您过来买
30600	32000	然后下次再跑来
32000	33500	接上大家的时间
33500	36300	然后大家也调整好案件发言
36300	38500	然后如果是没调整好的话
38500	40200	就到营兵区
40200	42600	到时候会有战友给您接待调卖
42600	45100	然后再把您送下来
45100	50200	然后所有的战友一定要听主持人的协调
50200	51000	其实很简单的
51000	53100	大家现在已经了解这个流程了
53100	56300	就是主持人请您发言
56300	58700	发言之前一定要说您是谁
58700	60400	然后刚才文彬也说了
60400	62400	您是哪个农场的哪个战友
62400	64100	一定要先报名字
64100	66500	然后问问题的时候
66500	68900	不要说我有声音吗
68900	71400	我有那个就是不用这样
71400	72500	大家先调卖
72500	74100	然后就不用说我可以说话了
74100	74800	直接说
74800	76900	好吧 节省时间
76900	79700	然后下面是提问的
79700	82600	就是所有关于G系列的投资
82600	85400	VOG 凤凰农场借款的相关问题
85400	87800	全部到每晚的联盟委员会
87800	90000	打一房间提问
90000	92400	VOG 凤凰农场借款等相关的
92400	93400	这种细节的问题
93400	96200	都到联盟委员会打一房间提问
96200	98600	然后所有关于GTV的问题
98600	102800	到GTV打一房间提问
102800	105700	然后之前就是之前
105700	108500	所有问过郭先生的问题的这些战友
108500	109000	问过
109000	110400	您就不要再问了
110400	110900	为什么
110900	112700	可以就是先把这个机会
112700	115500	让没有跟郭先生直接沟通过的战友
115500	116100	好吧
116100	116700	机会
116700	119100	因为大家都要有这个机会
119100	122100	然后每一个战友只能问一个问题
122100	123500	只能问一个问题
123500	124300	每个战友
124300	127500	然后您要精简您的问题
127500	129900	然后发言不要超过一分钟
129900	131500	然后那个声音
131500	132500	然后语气
132500	134400	少一些这个语气词
134400	136100	然后注意你的情绪
136100	139500	这样大家就是有更好的体验
139500	142000	然后就是如果因为各种原因
142000	143600	就是把您移出去了
143600	145300	绝对不知道就把您踢出去了
145300	147200	然后就是可能
147200	149900	然后您回头再跟义工联系
149900	151400	然后大家再沟通
151400	152200	怎么调您的脉
152200	153300	怎么组织您的语言
153300	154500	下次郭先生来的时候
154500	156900	然后再咱们再跟义工联系沟通
156900	157300	好吧
157300	157600	谢谢
157600	158100	谢谢
164800	165800	你好
165800	166900	我是黄玫瑰
166900	167700	我可以说吗
167700	168400	听到吗
170600	171300	可以听到的
171300	172900	然后郭先生还有两分钟了
172900	174500	然后现在是请安然
174500	176700	先总结好一些问题
176700	178000	然后以后郭先生就来了
178000	178300	好吧
178300	178800	谢谢
180600	181800	等我去转这个
183100	183500	等我
183500	184900	我怎么去提问呢
186300	187500	我怎么去提问呢
194400	195600	到时候你
196700	197600	要问的问题
198400	199900	后台的名字
201400	202200	你就说
202200	203600	我是湖南自媒农场
