start	end	text
0	6000	然后现在有权现在文斌战友请
6000	10000	然后我们马上就要开始了,谢谢
10000	14000	好,文水文斌好,早上好,文斌姐妹好
14000	20000	好,那郭先生如果是您可以的话,那我们直接开始吧
20000	23000	好吧,开始吧,开始吧,谢谢
23000	27000	好,那个战友们,战友们
27000	30000	早上好,新中国联邦欢迎大家
30000	33000	终于派生跟派院长派来了郭先生
33000	36000	然后昨天就是很多战友也是等了一天
36000	39000	跟郭先生说一下,然后说今天郭先生终于来了
39000	44000	然后我们就第一个关键是先请郭先生跟大家打个招呼
44000	47000	简单说两句,然后开始跟战友们的交流
47000	50000	好吧,谢谢,谢谢郭先生
54000	58000	郭先生的麦没有声音现在
61000	65000	郭先生您好,您现在可以就是跟战友简单打个招呼
65000	70000	那今天有没有想要的可能,如果没有的就是打个招呼简单说几句
70000	74000	好,收到了,文水听到我声音了吗,听到我声音了吗你们
74000	76000	声音特别好
76000	82000	好,文水文真文雷文斌所有兄弟姐妹们文东大家好
82000	86000	大家好,大家好,大家你们那不要问可不可以问问题吗
86000	89000	直接问就行了,好吧,因为我实在是
89000	92000	紧紧点时间,我今天连现身时间减少了
92000	96000	我必须回答你们问题,好,开始,谢谢
96000	99000	好,来,直接开始,好,现在就是
99000	103000	请第一位战友,刚好那个蚂蚁
103000	106000	蚂蚁的那个战友,请看来发言
106000	110000	请说您的这个名字和所在名
111000	115000	郭先生,你好,我是加拿大
115000	120000	蚂蚁王朝,等你几天,凌晨四点钟起来,回西部
120000	122000	今天等你等到了
122000	127000	我想这个问题就是,关于吃个你个人承诺这个
127000	130000	KOG投资这个事情
130000	134000	切换这个事情,说您个人承诺
134000	136000	我觉得这个事
137000	140000	这个爆料革命不是你一个人的事
140000	142000	也是我们全体战友的事情
142000	144000	也是全中国人的事情
144000	148000	所以我们战友不能因为吃个一个人承诺
148000	150000	我们是等待着,等待着打官司
150000	154000	而且在正常的经济活动中也不可能
154000	160000	也没有这种,你投资了,我保证你赚
160000	163000	所以我想,不敢说建议吧
163000	165000	就是我有个想法
165000	168000	能不能在我们这些VOG这些人
168000	173000	能不能再进行一次接款
173000	179000	不是根据原先的接款证还有退款证
179000	183000	接这款,因为在每家打官司要打很久
183000	187000	所以第一次这款,如果什么时候来
187000	191000	在大家的体育大厦或者是其他的机系列
191000	195000	那我们这个就再融一次
195000	198000	这样也有好几个人的事情
198000	201000	而且还有的人很多呼吁人员退款
201000	203000	也想再接一次款
203000	207000	这个不能说闹特殊,就是倒一下手
207000	210000	我们土话就是倒一下手
210000	215000	根据原先的证证我们再接一次款
215000	219000	因为这样是打官司什么我们都有钱
219000	223000	还有的战友想退款的
223000	229000	也可以从这里第二次这款去退款
229000	231000	所以不知道这建议行不行
231000	234000	因为我有时间建议,我就不敢说多
234000	236000	其实我还有别的方面多
236000	239000	那我就先说这个吧,谢谢这个
239000	241000	好,谢谢玛丽王朝兄弟
241000	243000	你的建议特别特别好
243000	246000	你为爆料革命危机和着想
246000	249000	这个着想这是我们心里真战友无私
249000	251000	非常好建议很好
251000	254000	根据这个商业规律来讲
254000	257000	确实不应该说七哥承担什么
257000	260000	但是不要忘了这个七哥曾经有言在先
260000	263000	所有的战友到VOG去
263000	267000	实际上到这么个事情受了Sara的误导
267000	269000	完全是Sara的误导
269000	271000	大家应该很清楚当时的投资
271000	273000	我们是定了一万美元
273000	275000	后来这个太多了
275000	277000	说十万以上来找我
277000	279000	那么后来大家现在发现了
279000	281000	很多大家贿款超过十万
281000	284000	几十万的也都汇到Sara那去了
284000	286000	关键的问题这个Sara这个是
286000	289000	一万也好十万也好,她没说实话
289000	292000	像今天早上我们老班长这个长岛哥
292000	295000	他跟我说他拿着我们这个投资的钱
295000	297000	他就私自就汇给了这个台湾的
297000	300000	他的喜爱侯小宝十万美元
300000	302000	给何小宝要钱的时候
302000	304000	何小宝说我钱我都花了
304000	305000	我也没有钱还呢
305000	306000	我啥钱也没有啊
306000	309000	你去想一想我这奖赔金我投的大
309000	311000	你怎么可以动任何人的一分钱
311000	312000	去给了侯小宝
312000	313000	侯小宝身体是婆婆人
313000	315000	你走程序了吗
315000	316000	这是大家投资的钱
316000	317000	你怎么可以给侯小宝
317000	319000	何小宝说那七哥让我做口罩厂
319000	321000	他只问了我一句我可不可以做口罩厂
321000	323000	我说你随便安心你的自由
323000	325000	你跟我啥关系啊
325000	327000	他就把战友十万美金就给弄走了
327000	328000	你说这玩意就像话不像话
328000	330000	然后侯小宝就耍赖
330000	332000	你这种赖天天讲民主
332000	333000	天天要搞投票
333000	335000	天天要搞民主
336000	338000	那么这种情况说明了什么
338000	340000	大家现在是因为爆料革命
340000	342000	因为七哥你们受了骗
342000	344000	你们上了当
344000	346000	七哥必须承担责任
347000	349000	那么以后我们会避免这种事情
349000	351000	然后呢接下来呢我觉得
351000	353000	再来一波借款的事情呢
353000	354000	这个不管如何
354000	356000	但是有些项目还并没有停
356000	358000	我们要确实有些事情呢
358000	359000	要继续下去
359000	360000	反正一个原则
360000	362000	战友的钱不能速损失
362000	364000	需要战友一起上的时候
364000	366000	大家联合起来一起上
366000	367000	该走法律程序
367000	368000	走法律程序
368000	369000	该起诉的起诉
369000	371000	然后呢该把钱追回的追回
371000	372000	追不回的起诉不了的
372000	373000	战友没钱的
373000	375000	律师费大家拿不了的
375000	376000	我拿
376000	378000	反正不能让战友损失
378000	379000	就这么简单
379000	380000	谢谢蚂蚁王朝
380000	381000	咱下一个问题
382000	384000	非常感谢郭英你们回答
384000	386000	然后现在下一位战友
386000	387000	黄玫瑰
387000	389000	黄玫瑰战友是前天就排队了
389000	391000	但是因为网络问题提出
391000	392000	提出了频道
392000	393000	现在就提出了
393000	394000	黄玫瑰战友
394000	395000	开麦发言
395000	396000	谢谢您
397000	398000	你好
398000	399000	我是法龙的黄玫瑰
399000	401000	我昨天等了你一天
401000	403000	今天掉线
403000	406000	今天终于可以跟您通上话
406000	407000	是我不幸的荣幸
407000	409000	我一直以来不想打摇你
409000	411000	因为知道您对外
411000	412000	处理世界各国各族
412000	413000	势力的斗争
413000	415000	同时也要团结正义力量
415000	418000	对待一下处理我们这些不懂事的
418000	420000	先知八太的战友们的各种问题
420000	421000	感谢感恩七哥
421000	425000	对战友们的欢迎和微不值的关爱
425000	427000	您的付出和辛苦
427000	428000	我们看在眼里
428000	430000	心在疼也在滴血
430000	432000	今天我有个建议
432000	434000	经不经自我邀请的事情
434000	436000	十分突出了很多我们
436000	438000	被中共教育出来的
438000	440000	只认权贵不认法律
440000	442000	不懂法律的思维方式所造成的
443000	445000	个人崇拜的结果所造成
445000	448000	所以让战友们懂法律
448000	451000	遵守所在国法律是很必要的
451000	453000	请问七哥怎么可以利用当地
453000	455000	有自方面人力资源的战友们
455000	457000	或者联盟委员会
457000	459000	上面一个机构或者是团队
459000	462000	用热线直播或者互动等方式
462000	464000	能快速地回应战友们
464000	466000	在本国的法律问题
466000	468000	我们新中国联邦中国人
468000	470000	才能做到一个知法守法
470000	472000	当地民众喜欢的新中国人
472000	475000	谢谢郭先生我爱你请加瓦
477000	480000	黄玫瑰这个妹妹太好了
480000	482000	能感觉到你是经过
482000	484000	很长时间准备问的这些问题
484000	486000	感觉到你的热血
486000	488000	我们需要的就是你这种热血
488000	490000	这个刚才你问的问题
490000	492000	也是我们必须面对的问题
492000	494000	需要解决的问题
494000	496000	这些很多人说为什么海外的华人
496000	498000	在抗议的时候
498000	500000	看来百分比都没有
500000	502000	为什么这些事情
502000	504000	海外的华人加入多少没有
