start	end	text
0	3000	战友们好,你们健身了吗?
3000	8000	12月24号,我这耳朵还听着咱们的歌曲呢。
9000	15000	刚刚跟战友开完会,这个马上要健身了。
15000	17000	这个是平安夜,
17000	21000	这个平安夜我们最想想的这个世界上,
21000	25000	现在过平安夜挺滑稽的,真的不平安。
25000	27000	如果说过了平安夜,
27000	31000	每次住平安夜的时候,大家都有不同的感受。
31000	36000	我想今年的平安夜是人类有史以来最不平安的平安夜。
36000	42000	无论是美国总统大选,还是整个病毒,还是世界经济,
42000	48000	所有的不确定性,让这个地球每个人都不感觉到平安。
48000	51000	我相信大家在过去的二十几个小时都看到了,
51000	54000	我相信大家在过去的二十几个小时都看到了,
54000	59000	这所有的西方国家,所有的政府都已经说,
59000	65000	黑暗,都像七哥三年前说的,黑暗真是刚刚开始。
65000	68000	但没有人敢说黑暗是来自共产党,
68000	72000	现在的共产党是世界上最大的黑暗。
72000	76000	所有全世界的任何人都过平安夜都想到,
76000	83000	如何让世界平安,将是这个全地球平安大家思考的问题。
83000	86000	是谁让你平安夜不平安?
86000	91000	是谁让你全人类的家人,无论任何宗教,
91000	97000	任何信仰的人,都感到接下来的新丑年谁都不平安。
97000	102000	新丑年比庚子年还可怕。
102000	107000	往后看六十年,一百八十年,一百二十年去看去吧,
107000	110000	没有一个新丑年是好过的。
110000	118000	我第一次谈新丑,新丑年将是人类最大的变革的年。
118000	121000	亲爱的兄弟姐妹们,
121000	125000	在任何一个新丑年最大的变化是什么?
125000	128000	全世界的经济。
128000	131000	庚子年是政治最大变化年,
131000	134000	在你看到了全世界政治巨大变化,
134000	138000	美国总统选举还未定呢,整个大变化。
138000	141000	但是所有的跟着庚子年的新丑年,
141000	146000	经济、金融、民生,巨大的变化。
146000	149000	政治王就经济嘛,它是一个轮回。
149000	154000	大家注意吧,谁的钱袋子也不平安,
154000	158000	谁的家人未来的生活粮食都不平安。
159000	161000	这就是爆料革命,
161000	165000	新中国联邦如何大家凝聚在一起,
165000	168000	团结在一起。
