start	end	text
0	5720	哎呦 兄弟姐妹们啊 来晚了 来晚了 来晚了
5720	11520	我的手机都爆了 兄弟姐妹说 七哥 怎么还没有消息啊
12120	15400	我是今天 从早上到现在刚开完会
15960	18560	憋得我受不了了 赶快去洗手间啊
18960	21760	这个发现我这个裤子今天也是真的给我
22040	25440	我发现裤子还必须得脱了才能去洗手间 天呐
26440	31960	这也太夸张了 你看 你看这裤子 还非得都脱了才行
31960	37080	你说这结果是死的 你说这玩意儿 越着急吧
37080	41240	你说越来这个啊 一切一切都是很好的呀
42280	44800	大家发现了吗现在 发现了吗
44800	46920	美国大选现在出现什么情况了啊
47560	51040	滑机了吧 滑到机了吧 机开始了吧
51480	53800	另外一个就是咱们战友们很多问题啊
54280	57800	这个我真的是没有时间一一回答 等我有时间直播中说
58160	62880	然后呢 再一个 七哥得让咱们GTV金牛寺赚钱呢兄弟姐妹们
62880	66160	还有一堆的大事儿 商务的事儿 我今天下午还有几个会
66400	70200	我马上要去吃一口饭 从昨天中午到现在我还没吃饭呢
70560	75120	我去吃一口饭 接着开商务的会 然后开律师的会
75120	80960	然后再开灭共的会 然后在欧洲 欧洲人在下午
80960	83560	我还要跟他们继续开这个视频会
84800	91000	香港 经济即将崩溃 大陆经济崩溃中
92160	98760	美国大选在走向一个 真正美国的法律让美国国家正在团结
99200	103440	整个美国大选的灾难正在变成美国的伟大
104440	106400	川普总统不用说一定赢的
106760	110320	另外一个兄弟姐妹们 病毒越来越严重
111240	113080	现在我的信息太多了
113560	117680	小心病毒 没有任何一件危险和一个威胁
117680	120120	包括共产党 大于病毒对你的威胁的
120440	123000	千万小心 千万小心 千万小心
123480	126480	国内战友更不用说了 做好最坏的准备
127520	131600	国内不是脑袋有问题了 整个国家的脑袋都有问题了
131840	135080	整个国家的经济都有问题了 兄弟姐妹们
135560	139320	千万千万 这真的是狼来了
140200	143320	国内这个疯狂无知 上蒙下骗
143680	149080	现在搞政治大跃进 经济大跃进 病毒大跃进
149640	152880	这种次生灾难正在扩散中
153800	155960	兄弟姐妹们 一定记住
155960	159560	人生在世最可怕的事情就是无知
160760	165640	就是无知 然后才是贪婪再加无知 那就一定是灾难
166160	169600	一定记住 认清现在国内的政治经济形势
169800	171800	这对我们才是至关重要的
172280	175880	只有爆料革命 只有新中国联盟能给你真相
176120	180680	能让你在这个黑暗的世界和黑暗的共产党的统治社会里
180920	185560	让你知道真相 只让你把无知变成一个真正的
185720	188920	尽快的了解真相的人 才能让你远离灾难
189840	191640	太多好消息了 我就不说了
