start	end	text
0	7000	尊敬的战友们好 现在正是大家过平安夜的时候
7000	13000	文贵吃了一肚 喝了一肚子 还抽了雪茄
13000	17000	真是感慨很多 感慨非常多
17000	20000	就是在大家都过平安夜的时候
20000	25000	突然今天很多战友发给我去年平安夜的很多
25000	29000	还有过圣诞的时候的视频
29000	32000	真是感慨真快呀 又一年了
32000	34000	在这个平安夜的时候
34000	37000	真是人类遇到了一个前所未有的
37000	42000	最不平安 最无法确定平安的平安夜
42000	45000	很多战友们现在都和我一样
45000	52000	在想着这个平安夜和去年平安夜之间发生的一系列的事情
52000	58000	亲爱的兄弟姐妹们 此时此刻大家的心情都是很复杂的
58000	61000	我们想想现在国内的同胞们
61000	67000	面对着缺粮 银行不能取钱 病毒
67000	72000	各个方面的威胁 就别说平安了
72000	75000	就是你来过平安夜都不合法
75000	79000	更不要提过圣诞了 也不合法
79000	85000	同时我们现在想到 这个世界上所有的人民
86000	91000	有多少人 几千万人被感染成共产党的病毒
91000	95000	又有多少人没有任何原因的
95000	102000	没有任何找不到敌人的情况下 就夺去了家人的生命
102000	110000	还有多少人在疾病和威胁痛苦之中 挣扎在生死线上
110000	116000	我们再次想起当年西周 西欧
116000	126000	包括当时的三弟灭佛 和当时耶稣被杀 和当时的印度灭佛
126000	134000	人类的历史就伴随着无知愚昧 暴力和追求和平和善良
134000	138000	这就更加的凸显了我们的爆料革命新中国联邦
138000	141000	追求正道主义的正确性
141000	145000	越是在平安夜 我们要想想
145000	148000	这个世界上有多少人不平安
148000	152000	我们再想想比比那些感染成病的人
152000	158000	想一想这全世界在疾困潦倒中 不能过平安夜的人
158000	163000	甚至没水没电没房子的人 我们要感恩上天
163000	166000	感恩万福万身啊 兄弟姐妹们
166000	171000	我们要珍惜啊 特别是爆料革命新中国联邦
171000	177000	走到了今天的 兄弟姐妹们 太不容易了 太不容易了
177000	182000	我们有多少在墙内和在各个领域
182000	186000	不能站出来说话的战友们冒着生命的危险
186000	191000	失去家人 生命 自由和所有财产的危险
191000	193000	支持着新中国联邦
193000	197000	我们新中国人追求的这个目标
197000	199000	参与了爆料革命
199000	204000	此时此刻我就想 真是用什么话都无法形容
204000	209000	对我们的战友 对整个爆料革命和新中国联邦的支持
209000	213000	我们的代表人 我就不一个一一说了
213000	217000	别说漏了 别说漏了 感慨万千
217000	222000	刚才我再一次的为所有的爆料革命的战友和家人们祈福
222000	226000	我再一次为14亿中国同胞祈福
226000	228000	为全世界的人们祈福
228000	231000	当我们关心美国大选者不确定数的时候
231000	233000	大家都在担心的时候
233000	240000	大家要想到这个世界上真需要担心的事实在太多了
240000	243000	就这一个病毒 一个疫苗
243000	248000	给每个人都带来了生命的威胁
248000	250000	大家想想在这个时候
250000	254000	还有比这个疫情对人类有威胁的吗
254000	257000	是对人类有多么的不公平
257000	263000	1926年我记得天花病世界上死了多少人
263000	265000	中国又死了多少人
265000	267000	然后到了SARS
267000	271000	SARS在2003年中国死了多少人
272000	276000	再想想就是没过这才多少年的二战
276000	278000	人类死多少人
278000	280000	所以说这个人类啊
280000	284000	它必须在巨大的灾难面前
284000	287000	才能一次一次走向文明
287000	290000	一次一次走向真相
290000	295000	才能实现人类的追求的那种和平
295000	299000	真正的人们所说的那种和平太难了
299000	303000	我们每个人又是怎么做的兄弟姐妹们
303000	307000	我们看到了多少不可思议的事情发生
307000	312000	因为贪婪 因为没有信仰
312000	316000	在这个平安夜想想有多少人
316000	318000	不会像我们很多人一样
318000	321000	过着平安和家人相聚
321000	324000	可以自由发生
324000	328000	能吃饱喝好的 有选择的日子
329000	332000	我们希望我们真的中国人
332000	335000	从现在开始起
335000	337000	在这场灾难当中
337000	340000	真正的找到中国人的方向
340000	344000	让中国人过上没有恐惧
344000	348000	真正的是基本公平
