start	end	text
0	4000	今天是1月3號 非常榮幸在這裡和大家見面
4000	7000	現在呢 由這個木蘭和溫真主持
7000	10000	我來回答所有的觀眾朋友們
10000	14000	今天是1月3號 非常榮幸在這裡和大家見面
14000	17000	現在呢 由這個木蘭和溫真主持
17000	20000	我來回答所有的觀眾朋友們
20000	24000	今天是1月3號 非常榮幸在這裡和大家見面
24000	27000	今天是1月3號 非常榮幸在這裡和大家見面
27000	30000	今天是1月3號 非常榮幸在這裡和大家見面
30000	33000	今天是1月3號 非常榮幸在這裡和大家見面
33000	36000	今天是1月3號 非常榮幸在這裡和大家見面
36000	39000	今天是1月3號 非常榮幸在這裡和大家見面
39000	42000	今天是1月3號 非常榮幸在這裡和大家見面
42000	45000	今天是1月3號 非常榮幸在這裡和大家見面
45000	48000	今天是1月3號 非常榮幸在這裡和大家見面
48000	51000	今天是1月3號 非常榮幸在這裡和大家見面
51000	54000	今天是1月3號 非常榮幸在這裡和大家見面
54000	57000	今天是1月3號 非常榮幸在這裡和大家見面
57000	60000	今天是1月3號 非常榮幸在這裡和大家見面
60000	63000	今天是1月3號 非常榮幸在這裡和大家見面
63000	66000	今天是1月3號 非常榮幸在這裡和大家見面
66000	69000	今天是1月3號 非常榮幸在這裡和大家見面
69000	72000	今天是1月3號 非常榮幸在這裡和大家見面
72000	75000	今天是1月3號 非常榮幸在這裡和大家見面
75000	78000	今天是1月3號 非常榮幸在這裡和大家見面
78000	81000	今天是1月3號 非常榮幸在這裡和大家見面
81000	84000	謝謝七哥 我的一個問題呢
84000	87000	其實就是很多戰友最近在問我的一個問題
87000	90000	其實就是很多戰友最近在問我的一個問題
90000	93000	就是他們有些呢 都是有鳳凰農場的借貸
93000	96000	就是他們有些呢 都是有鳳凰農場的借貸
96000	99000	或者是VOG的借貸 然後就問我
99000	102000	他們是否能夠轉到秘密翻譯組
102000	105000	這個想請郭先生給大家解答一下 謝謝
105000	108000	這個想請郭先生給大家解答一下 謝謝
108000	111000	這樣 關於這個借貸呢 可以到這個雅典娜農場
111000	114000	這樣 關於這個借貸呢 可以到這個雅典娜農場
114000	117000	這個最好不要用秘密翻譯組 到雅典娜農場比較好
117000	120000	這個最好不要用秘密翻譯組 到雅典娜農場比較好
120000	123000	因為現在秘密翻譯組還不是個農場 不是絕對性的農場
123000	126000	所以希望是這個樣子的 好吧 謝謝
126000	129000	沒有加入雅典娜農場的是需要加入到雅典娜農場嗎?
129000	132000	沒有加入雅典娜農場的是需要加入到雅典娜農場嗎?
132000	135000	當然了 最好加入雅典娜農場是最好的
135000	138000	人可以待在秘密翻譯組 但是你要有個農場
138000	141000	秘密翻譯組現在不是一個批准的農場
141000	144000	享受所有的農場待遇 甚至優先待遇
144000	147000	享受所有的農場待遇 甚至優先待遇
147000	150000	但是呢 最好是到雅典娜農場去 好不好?
150000	153000	還有一些他們以前已經在秘密翻譯組
153000	156000	還有一些他們以前已經在秘密翻譯組
156000	159000	有過借貸的可以再轉到秘密翻譯組嗎?
159000	162000	有過借貸的可以再轉到秘密翻譯組嗎?
163000	166000	我覺得到雅典娜農場都統一到雅典娜農場是最好的
166000	169000	我覺得到雅典娜農場都統一到雅典娜農場是最好的
