start	end	text
1000	2440	尊敬的戰友們好啊
2440	5040	已經是5月28號了啊
5040	6920	這個今天早上到現在
6920	9520	因為這個一直在會議中
9520	11120	所以說沒辦法錄該特
11120	12000	我是錄的晚了
12000	13440	非常非常抱歉
13440	16200	大家也都知道今天七哥為什麼這麼忙
16200	19440	現在為啥這麼忙是吧
19440	19880	哎呀
19880	21520	這個劫暴頻傳吶
21520	23640	這個以毒滅共啊
23640	25960	現在進入了一個全球啊
26000	29440	一個共同的啊
29440	32480	全面對這個新的病毒一個認知的狀態
32480	33640	對滅共呢
33640	35680	也有新的認知狀態啊
35680	37800	可以說這個以毒滅共啊
37800	39960	就短短的這個這幾天
39960	42520	完全在全世界變了樣
42520	43600	大家也都知道
43600	45520	現在在全球轟轟烈烈的
45520	48240	在國內搞的要到處普遍打疫苗
48240	50120	很多戰友的發信息給我
50120	51720	說七哥到底怎麼辦
51720	53320	我就是一個建議
53360	55360	能不打堅決不能打
56560	58400	我就不相信
58400	60000	任何國家政府都敢說
60000	62200	你打了疫苗後果我承擔
62200	65880	打疫苗讓你先寫上一些後果你自負
65880	67280	你憑什麼打
67280	68360	我打你的疫苗
68360	69720	我憑啥自負啊
69720	70720	你研究的疫苗
70720	72160	我什麼自負啊
72160	73480	我可以不打呀
73480	75520	而且我相信包括美國政府
75520	77800	很多國家政府很快會宣佈啊
77800	78560	不打疫苗
78560	80720	我不能強迫打疫苗
80720	81880	這是個基本的邏輯
81880	83800	這我要給大家回覆一下
83800	85840	第二個就是關於這個躺平幣的事情
85840	87240	躺平幣啊
87240	89000	這個躺平幣在國內影響
89000	90280	大家已經都看到了
91480	94240	就在這個話題影響的
94240	95840	所有的各個階段的躺
95840	97480	什麼叫躺平
97480	98640	什麼叫躺平幣
100960	103200	這個躺平幣的概念
103200	104280	對共產黨的影響
104280	105720	它來源於什麼
105720	108520	來於當初共產黨的中國人
108520	110440	所有的殺地主
110440	111160	分土地
111160	113080	殺土豪所謂分土地
113080	116200	造成的嚴重的後果
116200	118760	今天大家看上去沒關係
118760	120240	事實上
120240	122320	中國人開始在思考
122320	124680	我們這麼辛苦的勞動
124680	127680	到底我們的日子能不能過得更好
127680	130080	為什麼我們不能像西方國家一樣
130080	132360	擁有自己的土地
132360	134200	為什麼不能像西方一樣
134200	136640	我們可以選擇政府
136640	138640	為什麼不能像西方一樣
138640	140120	我們可以想信什麼教育
140120	141680	信什麼教育
141680	143720	為什麼我們那麼辛苦
143720	148200	卻沒有辦法擁有西方一樣體面的生活
148200	150720	和基本的房產和車輛
150720	154040	在西方買個車簡直是太簡單了
154040	154800	是吧
154800	156560	一年不換新車都不好意思
156560	157760	一般的人對不對
157760	159560	車便宜就很
159560	161200	我們的很多同事
161200	164400	這頭兩天換的那個大眾的那個SUV
164400	166400	換的奔馳SUV
166400	169360	都是二手車四萬美元
169400	170960	新車四萬美元
170960	173440	這個大眾的SUV
173440	176360	然後二手車兩萬美金
176360	178000	這在中國是不可能的
178000	179480	在中國你要打工
179480	180400	還車貸
180400	181440	買房子
181440	183960	頭兩天我們很多國內救出來的戰友
183960	184960	去買完房子以後
184960	186200	房子帶傢俱
186200	187280	啥都有
187280	188920	四十萬美元
188920	190120	兩三百萬人民幣
190120	191920	一個獨立的house
191920	193400	一個都是A根的地
193400	196120	還有戰友在鳳凰城買了房子
196120	197880	大概是八十萬美元
197960	199560	四個A根的地
199560	200600	帶著所有人家去
200600	201280	豪華的不行
201280	202760	還在游泳池
202760	204400	所以說中國人在問
204400	208480	為什麼這個國家的土地天空都被污染了
208480	209720	人心都被污染了
209720	211520	可我們就過不上體面的生活
212640	215120	這不是割韭菜
215120	216840	這已經把大家也搞起來
216840	219160	也不是簡單是奴隸
219160	219920	就中國人
219920	222040	但凡你要明白一點
222040	223440	從各個農村
223440	225720	你打打麻將
225720	227560	炒點肉吃
227560	229400	能吃飽饅頭
229400	231280	每天你覺得跟另幹十小時
231280	232240	你都是幸福的
233440	236280	就這你在家裡邊你都要中毒
