start	end	text
0	5000	快出来解水啊,马上没了
9000	12000	水多可贵吧
12000	15000	快出来解水啊,马上没了
20000	23000	水多可贵吧
23000	26000	快出来解水啊,马上没了
31000	34000	水多可贵吧
34000	38000	水多可贵吧
64000	67000	快出来解水啊,马上没了
67000	70000	快出来解水啊,马上没了
97000	100000	快出来解水啊,马上没了
100000	103000	烟花虽然现在距离我国还有小1000公里的距离
103000	106000	却远程控制了河南的暴雨
106000	109000	那河南的这次暴雨为什么会这么强呢
109000	112000	专家分析主要原因有三个
112000	115000	第一个是受到台风的影响
115000	118000	我们知道台风烟花虽然现在距离我国还有小1000公里的距离
118000	121000	却远程控制了河南的暴雨
121000	124000	那河南的这次暴雨为什么会这么强呢
124000	129000	现在这个隆海路入口到中央路这个隧道这
129000	132000	现在这个隆海路入口到中央路这个隧道这
132000	135000	迷因经线都烂住了,根本就不让靠近
135000	138000	迷因经线都烂住了,根本就不让靠近
138000	141000	现在肯定是,是吧,有啥事呗
141000	144000	大家心里知道肯定是
144000	147000	大家心里知道肯定是
147000	150000	不想让大家看见这事情
150000	153000	祈祷吧
153000	156000	希望不要有太多的伤
156000	158000	现在这个隆海路
158000	160000	都跟着走 跟着走
167000	169000	跳山
173000	175000	都跟着走 跟着走
182000	184000	跳山
188000	190000	都跟着走 跟着走
196000	198000	牡丹湖已经绝口了
198000	200000	看到没 水已经到那了
200000	202000	看到没
202000	204000	里头的花枝都满了
204000	206000	参山路已经满满了
206000	208000	看到没
210000	212000	这是牡丹湖
212000	214000	牡丹湖已经绝口了
214000	216000	看到没 水已经到那了
216000	218000	看到没
218000	220000	里头的花枝都满了
220000	222000	参山路已经满满了
234000	236000	来了
246000	248000	换个位置
248000	250000	换个位置
266000	268000	这小木兰已经开拍照了
268000	270000	这小木兰已经开拍照了
276000	285160	今天是7月23號了 尊敬的戰友們好 7月23號
285760	289480	我還是咳嗽啊 一見戰友就緊張
297040	300600	尊敬的戰友們好 7月23號 七個亂聊直播
300840	303600	太多戰友發信息了 沒辦法一一回
304000	308600	特別是來自新鄉 安養 鄭州 河南的戰友們
309560	313320	強烈要求七哥今天要直播 說七哥你啥都別說
313680	315880	你就坐那讓我們看看你就行
316360	320560	這個很多在這個鄭州發來的信息啊
321720	322520	抱歉
334600	336600	很多戰友啊 都在那哭啊
337040	339760	這個我完全可以理解啊
