start	end	text
520	2160	尊敬的戰友們好啊
2960	5800	今天上午直播啊 吃播
6360	7880	看著他餃子好吃吧
8400	9400	好吃
10000	12680	我吃了是吧 五六十個吧 最起碼
13320	14560	吃完餃子了
15400	16680	要不鍛煉呢
17600	19000	後果很嚴重
20000	21960	容易嗎 不容易啊
22280	23320	我必須鍛煉
24040	25320	吃完餃子去開會
25640	27920	開完會趕快往家穿
28560	29920	趴在這鍛煉
30000	31080	是吧 你看他
31680	32240	你看這
32680	34160	你看這 這一套啊
34520	36600	全都得鍛煉完 你看這 還有這個
37320	38840	啪啪啪啪啪
38840	40200	僅僅兩個小時的鍛煉
41080	43160	是吧 最起碼得幹掉
43680	45760	上一千多到兩千卡路里吧
45880	46520	最起碼吧
47160	47680	是不是
48120	49520	出了這一身汗
49680	50600	澆了一身水
51280	52960	所以說人生也是這個樣子
53200	54960	你不能只吃不消化
56200	58120	在你吃之前你一定要知道
58400	59720	你光吃不消化
59880	60920	那會憋死的
61560	62840	不管你多偉大的人
62920	63840	多體面的人
64440	66280	你每天都得吃得很
66280	69320	再高級你得到廁所馬桶去排水
70280	71800	所以人間那存在什麼
72400	73760	存在最光明的人
74320	75320	最陽光的人
75520	76760	最乾淨的食品
77200	78000	陽光下
78320	79800	同時它存在毛屎坑
80200	81920	狗屎 像那九指腰這號人
82240	83640	今天我看到GTV上
83920	84840	我們德國的
85040	86080	我們戰友們
86080	86680	金香
87280	88600	談這個人格分裂
88600	89480	邊緣人格
90680	91280	是不是
91800	93240	叫金明妹妹是吧
93920	94880	談的真好
95440	99120	就是這個九指腰這種邊緣性人格
99280	100280	它是個病態的
101400	104120	同時我現在看到GTV以及各農場
104920	105800	出來你看看
106040	107920	像這個DC飛飛呀是吧
108120	109480	很多新的戰友
109720	111840	上來以後節目也出的非常好
112440	114920	所以說現在七哥真的是說實在話
114920	115880	很不舒服
116160	117440	很抱歉對戰友們
117960	119600	都是七哥藝人在這塊兒
119600	122760	講個人感情情意太重
124120	125800	結果給這九指腰背書
125800	127560	給大家帶來了那麼多麻煩
127760	128560	你看看現在
128840	129960	百花齊放
130240	131240	千花齊放
131240	132160	萬花齊放
132600	133600	全都站起來了
134480	135840	大家都得到釋放了
135840	136440	多好
136840	137960	所以說這個壟斷
138240	139480	是絕對沒有出路的
139960	142360	去竹金話才是真正的大事業
142360	142960	大未來
143440	144640	無論是爆料革命
144640	145600	新中國聯邦
146200	147360	大家要接受
147480	149120	就像我們每天我們吃餃子
149360	150760	要進廁所要排夜
150760	151760	不管你吃什麼餃子
152120	153520	好吃不好吃你都得排出去
153920	155160	所以說去陳
156040	157520	去陳迎新
158320	159640	去舊迎新
160920	163200	一定要是新陳排夜
163840	164600	九指腰
164720	165520	還有什麼
165840	166480	什麼
167480	168480	龜頭羊
169280	169800	什麼
170040	171160	叫Janison
171160	171960	Janison
171960	172680	Janison
172920	174040	還有什麼令狐
174560	175320	PJ Pan
175520	176720	現在等著金錢玉寶
177720	179720	今天我知道更多的
180320	181320	刑事調查
181320	181840	是吧
182120	182800	完了
182800	183520	他完了
184440	186080	他不是秋後的罵仗了
186640	188400	他也是冬天的罵仗了
188800	189520	所以說
190000	190800	兄弟姐妹們
191160	192560	我們還要看到今天
193120	194320	你看今天這個
194320	195360	我們G-News上
195840	196760	咱們戰友的
196760	197320	是吧
197600	198760	這個寫的篇文章
198760	199960	是特別特別的好
200320	201840	就是關於分析
202000	203600	商鞅之處
204160	205200	立出一孔
205200	206400	這個講的非常好
206680	207560	這立出一孔
207560	208680	是他這一個
208920	210320	中期的時候的思維
210720	211520	立出一孔
211840	213080	這是為什麼這個
213280	214480	當時這個
214760	216280	錢王
217040	217800	錢妻
218160	219760	秦王的這個兒子
220600	222000	這個當時
222200	223600	是老妻還是老姐
223600	224720	割了個鼻子那個
226120	227200	非要弄死商鞅
227960	229840	他就因為他要立出一孔
230000	230720	立出一孔
230720	232080	他到了皇帝身邊
232080	233040	到殿上
233200	234080	到是誰家的
234080	235040	不管是皇家的
235240	236360	皇家是誰的
236400	238600	皇家有很多利
238600	239840	也有很多孔
240520	242240	那麼但是這文章寫的非常好
242520	244520	這就是現在百花齊放
245480	246680	這個去中心化
246800	248960	還有大家去心營救
249440	250720	吃了餃子排出
251120	252440	剛才我在直播前
252440	253800	現場廁所排一下子
253800	254320	其實吧
254520	255360	我排的時候就想
255360	256960	這就是九指淵被排出去了
260800	262880	所以說現在的兄弟姐妹們
263840	265200	你看咱這個軟件特別好
265320	266320	他跟著連走
266520	267280	你發現了嗎
272480	273200	跟著轉過來
284040	285760	這這牆是皮子的
286760	287680	是皮子的
287680	290360	所以說音效特別特別好
291680	292640	哎呀兄弟姐妹們
292640	294200	這是我是給大家
294200	296280	現在今天這個運動完
296280	298000	說的不是這個瞎扯啊
298160	299440	我給大家說什麼呢
299760	302360	就是臺灣的戰友們
302640	303920	我的大牛兄弟
304000	306240	我的臺灣巴黎妹妹
306760	308280	我們的臺灣大帥哥
308560	309240	大美女
309920	311520	你們夫妻兩個真的是
311520	313200	跟他們戰友們都傳達傳達
314320	316680	今天剛剛我獲得更多信息呀
317080	318920	這是這是共匪要在臺灣
318920	320280	是真要有動作呀
320800	321480	不行
321480	323280	臺灣巴黎趕快來美國吧
323280	323960	只要能來
324600	325600	帶著咱們戰友們
325600	328440	七哥保證你們住的吃的工作
329440	332000	就是每每個年的工資
332000	333640	絕不亞於你在臺灣的
333640	335040	值得比那多不比那少
336080	336880	七哥保證
337280	338560	吃的不比臺灣差
338960	339640	這你放心
339840	340960	中餐就不行了啊
341360	343240	這七哥吃啥能讓你吃啥
343440	344440	這得給你保證
345480	346600	真的要想想了
347040	348160	臺灣的兄弟姐妹們
348160	349480	你們也真的想想了
350920	351720	看來啊
352200	353680	真是要有事啊
355200	356200	說實在話
356200	357200	共匪一打臺灣
357200	358200	共匪就結束了
358200	360440	但是想起臺灣我的大牛兄弟
360440	361200	巴黎妹妹
361680	363480	還有那麼多兄弟姐妹在那呢
364200	364880	真是擔憂
364880	365880	還有很多朋友呢
366400	368400	我那李祖元大師雖然是
369000	371280	因為懦弱把我給扔拋棄了
371280	371800	但是
372520	374600	他公司李祖元事務所的人
374920	376920	還有李大師我還是很惦記他呀
378440	379800	還有很多兄弟呀
379800	381000	我還是很惦記的呀
381000	382400	我還是很惦記的呀
385280	386240	這個
386240	387440	這幾天啊
388160	389600	發生了各種跡象
390000	391840	內部戰友的各種情報
392720	394320	臺灣是真是不妙
396600	397560	真是不妙
398240	401480	如果是共產黨在臺灣的一動手
401840	402960	生靈投臺
403480	404960	血流成河呀
406440	408040	這就是瘋狂啊
409040	409640	啊
409640	411800	中國歷史上的政治鬥爭
412040	413960	絕大多數都是朝
414040	414640	啊
414640	416400	都是朝廷的內鬥
417320	418240	現在呀
418520	419560	可悲的是
419800	420960	幾千年後
421720	422040	啊
422040	424720	中共中國人要不打中國人
424720	425440	啊
425440	427200	只殺中國人的故事
427200	428520	一次一次重演
429760	430360	啊
430360	432320	天天說中國人不打中國人
432320	433200	在香港
433200	435360	把中國人全把中國同胞
435360	437160	香港同胞全扔海裡去了
437560	438880	人海裡還得輪艦了
438880	439440	搶艦了
439440	440080	套鋼
441160	442680	曾天說對著臺灣喊
442680	443800	中國人不打中國人
443800	444880	天天嚇得半死
445160	446480	這回可能真的是
446480	447320	不打臺灣人
447320	448320	只殺臺灣人
450080	450880	你否咋弄
454240	455080	真沒辦法
455080	456040	這流氓土匪
456040	457680	七哥要有本事啊
458000	458880	現在就是
459040	460240	如探當取物一樣
460240	462280	就把他捏死在中南坑
462280	462880	幾個老咋貓
462880	464080	那七哥馬上去幹呢
464120	464600	是吧
465600	467120	現在七哥現在趕著急
467120	467840	擔心吶
469520	470280	但是
470280	471920	剛剛我在運動的時候
472800	473640	這個
474720	475840	咱們內部戰友說
475840	477680	讓臺灣的戰友能離開
477680	479040	臺灣就離開吧
480000	481400	弄得我心裡咯噔咯噔的
481400	482080	所以說
482080	482840	趕快
483080	484000	拿起來
484320	485680	手機錄一段
486240	487400	蓋特一下子
490080	490920	哎呀
491440	492400	兄弟姐妹們
493320	494920	共產黨真瘋了
495840	497560	我這很難想像
498720	499920	連豬都不如的
499920	501000	至少幾個老咋貓
501000	502400	想統治世界
503040	504400	這到底是
504400	506640	世界要滅它
506880	508400	還是它自己要滅自己呢
509040	510440	不管誰要滅它
510720	512480	它能不能少豁開這些
