start	end	text
1000	4280	好 战友们好 我再录一段啊 那个已经发出去了
4720	7520	刚才路上吓得一下打个喷嚏 我重来一下
8640	10720	我刚才说的是关于养老的问题
10720	13040	咱这样新中国联邦有很多行动
13040	19440	最重要的事情 我们要跟世界上最好的医疗机构进行合作
19440	22400	我不说那么细 说希拉圭哪该闻到味儿了啊
22600	25200	等咱们出来的时候 你看那七个 吓死他们
25800	28880	只有出奇制胜 才是大赢
29000	34760	才能 这种胜利 才能有这种你想象不到的战果
35640	38040	好 我接着说一下其他政治经济方面的
38040	42040	香港 我们获得足够的这个信息和证据
42040	43760	我们彻底的经过核实后
44160	49240	香港政府 它整个是五千多亿美元的所谓的它的经济盘子
49240	53400	有一千多亿是在政府所谓的 就像是说的储备金
54120	57720	现在香港政府给中共紧急报告
58120	62400	香港政府的这个储备金已经是用完了 现在都是假的了
62760	66440	那么主要是靠所谓中共中央 国有企业
66440	71560	还有香港的交易所 还有国有企业以及中国的几个银行
72200	74360	所谓在那边拿自己钱盖来盖去
74760	77120	十个瓶子 俩盖 甚至是没盖
77120	79840	就是扣着电脑经济在那边弄
80440	82600	那么现在历史上从来没出现过
83120	86600	这大量的这个顺差逆差的这个外汇和贸易
86640	87960	这两个形成了矛盾
88600	90760	香港现在的民生还有物价
91240	94280	特别是民生成本越来越高
95080	101040	然后大量的资金外益可能会形成香港股市的血崩效应
101360	103120	突然间大家都卖股票
103440	106520	然后香港的这个房市可能忽然间都卖
107320	110600	再一个就是香港的突然间出现矛盾的突发事件
110840	113640	集体外汇测试 香港就成空城了
114480	117920	香港不是臭城 也不是死城 香港成了空城
119000	121400	这种话的话就给中央紧急提示
121920	123440	如何解决这些问题
124800	128000	香港真的是危在旦夕
128440	130240	这是一个 第二个就是台湾这个
131240	135040	目前台湾你不管你蔡英文你给谁磕头
135040	135880	你怎么害怕
136560	139720	求爷告奶奶别打我 你们别在这扯事啊
139720	141200	我害怕 没用
141400	148520	据我所知 欧洲 日本 美国都在私下商量
150000	153400	如果这样了台湾怎么办 如果那样怎么办
154080	156000	不管如何大家都知道
156920	160200	这现在是中共是一定要对台湾有动作的
160840	163400	有动作了以后你动不动手还不动手
164080	168960	现在非常好的事情是多次差点动手停下来以后
169320	173640	现在基本上叫投降派和战争派
174600	176800	那么现在投降派投了那么多次了
177240	180520	现在在美国 欧洲 包括日本这些西方所有的国家都知道
180520	183280	你继续投降下去 共产党就是把台湾就干掉了
183720	185200	干掉台湾就干全世界了
