start	end	text
1000	2400	哎呀 尊敬的戰友們好
2400	4160	我這是開下午會
4160	8400	我這是剛才那個路德蓋特到現在一直戴著口罩
8400	10100	共產黨太牛了
10100	11920	讓全世界戴著龍頭
13980	16440	這上一次路德蓋特出去之後
16440	21080	到現在我收到大概二十個戰友們的信息
21080	23400	都是被共產黨喝茶的
23400	25920	還有幾個被共產黨怕了八個月的
25920	26560	還有一個
26560	31120	還有一個是被共產黨這個家人給威脅的
31120	33640	全部信息來自於VOG
35040	37320	全部信息來自於VOG
37320	38280	這個Sara
38280	41480	這個簡直這個九指腰太壞了
41480	42720	太是魔鬼了
44400	45480	哎呀
47080	48880	這個魔
48880	52240	這個魔真是讓我們的爆料革命成長很多
52240	53920	付出了很多的代價
54520	57480	哇塞
57480	60000	所以說共產黨給全人類戴龍頭
60000	63560	Sara九指腰給讓全部爆料革命戰友們寫遺書
63560	65720	然後把遺書錢全給他
65720	68880	今天剛才我看到這個戰友發了信息
68880	71320	讓學倆人學豆豆
71320	72880	每個被喝茶的學豆豆
72880	74680	你看看豆豆的推特啊
74680	75760	學豆豆
75760	77640	第二個學Sara九指腰
77640	78960	你看Sara
78960	81080	然後現在就說了海洋
81080	82920	這海洋的這個這個厲害了啊
82920	84000	這是我們的英雄
84000	85360	你要學他
85360	89640	所以說龜頭羊九指腰豆豆是一個級別的
89640	91200	這是一個級別的
91200	92680	所以說兄弟姐妹們
92680	94400	這個真是七哥的錯啊
94400	96280	這個給他背書啊
96280	98640	給戰友們帶來了這麼多的麻煩
100920	102880	但是戰友們你們要記住
102880	107240	任何人付出的代價都不會白白付出的
107240	110920	新中國聯邦爆料革命不會忘掉這一切
110920	112480	另外一個兄弟姐妹們
112560	114720	這說明了什麼問題
114720	118000	讓我感動的所有這些戰友們發信息都讓我很感動
118000	121800	七哥這證明了我們滅共確實有效了
121800	123000	共產黨害怕了
124320	125400	這是真的
125400	127560	戰友們到這個時候
127560	130720	還以這種態度對待新中國聯邦
130720	132960	對待爆料革命
132960	135520	跟九指腰龜頭羊這一比
135520	137120	你就可立分高低
138560	140160	千萬別一說
140200	142960	這個九指腰給彥平說過好幾次
142960	145960	他最希望他的兒子和人家混血
145960	148360	混混混把中國人血混沒了沒有
148360	150560	他跟我說當時我說他瘋了簡直是
150560	152160	他骨子裡是恨中國人的
153400	155560	未來你會發現他真實的罪臉
155560	157600	他骨子裡邊是恨中國人的
159160	161200	他不承認自己的皮膚
161200	162480	他覺得中國人不行
162480	163840	恰恰相反
163840	165600	讓現在經歷這種事情
165600	166560	就戰友發了信息
166560	169760	讓我覺得為這樣的戰友奮鬥犧牲
169760	170720	我覺得都值得
172000	173000	在這個時候
173000	176920	這些戰友們還能堅持自己的信仰
176920	179120	任何人你想想
179120	179800	那容易
180760	183320	但是你真到那一刻被叫急喝茶
183320	185360	被威脅被毆打
185360	187560	被你生死威脅
187560	188680	失去自由
188680	189880	全家人都威脅
189880	191680	沒幾個人能挺住的
191680	193280	沒有幾個人不抱怨
193280	195240	沒有幾個人不往後退的
195240	197760	但是我們那麼多戰友太偉大了
199800	201960	在廣西的一家人
201960	203480	人家次次喝茶
204560	206960	都是Sara、九指謠
206960	208320	現在大家必須問個問題
208320	212280	為什麼國內最近喝茶全都是VOG的匯款者
212280	216440	和VOG的所謂寫遺書的人
216440	218040	這就是龜頭羊
218040	220760	這就是這個九指謠最大的陰謀
220760	221800	讓你寫遺書
221800	223000	讓你填表格
223000	224040	最後弄清楚你
224040	225560	把你消失
225560	227720	然後成為自己的所有的夢
227720	228640	你看現在
228640	229400	在屠商
229400	230080	在鳳凰城
230080	231240	這麼多刑事案子
231240	233240	他現在還做著夢了
233240	235520	這叫典型的屠財駭名
237200	239120	遺書繼續寫
239120	240320	還要搞什麼網站
240320	241640	這個傻戶
241640	242560	就他那個臉
242560	243440	就他那個樣
243440	244480	他在搞啥呀
244480	245400	還搞S
245400	246640	他要發行
246640	247840	S dollar
247840	248920	S coin
248920	250600	等著吧
250600	253200	希望真正的傻子們
253200	254840	共產黨都去買他的
254840	256680	希望共產黨都去買他的
256720	257480	S dollar
257480	258280	S coin
259600	260560	所以說兄弟姐妹們
260560	261920	這有多瘋狂
