start	end	text
0	7760	尊敬的戰友們好 1月9號 你們見識了嗎?
7760	11800	川普CCP病毒香港危機真相了嗎?
11800	14340	哎呀我的媽 1月9號 兄弟姐妹們
14340	19000	這從昨天到今天啊 冰火兩重天吶又是啊
19000	25680	很多人感覺到末日到來了 我的天 我感覺到末日到來了
25680	29480	川普總統 Twitter 被封了 Facebook 被封了
29800	33880	所有的極右派媒體全部被拔了 班農戰鬥室也被屏蔽了
34840	38760	我早就說過 它一定會發生的 一定會發生的
39280	43040	這為啥你過去想滅掉人家230 是吧?
43040	46080	你想把人家滅了 人家就不想滅你嗎?
47080	52240	人家滅你 你說人家不守法 你滅人家 你說我是守法
52240	57560	你站在對方想想 如果你是Twitter 你是YouTube
57560	63000	你會做啥?你一樣這麼做 百分之八九十都會這麼做
63000	65600	川普總統上來以後幹啥?先把230給他滅了
65600	69160	就把人家媒體滅了 你先別說誰正義誰不正義
69160	73360	在你死我活的問題上 幾乎大家不會考慮正義的
73360	77880	這是個基本的邏輯 沒有人說因為正義我自殺了吧
77880	80680	然後有人認識到我非正義 我自殺了吧
80680	87000	天下沒有這個道理 勝者亡侯敗者寇 有說他有道理呢
87040	89760	但是正義跟這個是最終的判決
89760	93120	在這個過程當中 勝者亡侯敗者寇 他就是對的
93120	98480	這是共產黨這麼多年來玩的非常熟悉的手段
98480	103200	但是要記住 如果你跟有信仰的人 你相信正義
103200	109640	你相信邪惡 最終要被正義打敗 你就不會在乎這個過程
109640	112920	這兩天最多的詞兒從來沒聽說過
112920	119000	川普總統是最大的口炮 川普是個loser 最大的loser
119000	124760	川普是一個完完全全的懦夫 川普是個自戀狂
124760	131160	最大的自戀狂 川普是最無知的政治家
131160	135360	川普是個最瘋狂的種族者
135360	139480	來了 我大概數數 八九惡 多了去了
140440	144840	很多人聽了這話以後 都說對呀 有點道理
144840	147720	但是我告訴所有跟我說罪的人
147720	153200	我說我當年到日本去 跟著人家日本朋友去看日本
153200	159280	就是去性表演 在舞台上 一男一女在表演性能力
159280	163160	下邊所有的人都是 都是西服隔離的一進門
163160	165880	從行李包裡面 那時候行李包很高級 文件夾
165920	170800	拿出不讓骨 嘎啦啦嘎啦啦的 下面祝福啊 鼓勁
170800	177800	絕大多數人都先 舞台上的人啊 這個都是助愛時間太短
177800	183080	但是呢 還有個節目 你也可以上去表演 沒人敢上去
183080	185560	後來我知道 任何下面的人
185560	190320	他也不可能跟台上那個所謂最後沒堅持到最後的人
190320	193440	那個男人和那個女人能比
193480	197400	因為你根本不敢上那個台 你也沒有機會上那個舞台
197400	202040	終生都沒這個機會 你沒這個勇氣 你也沒那個能力
202040	205400	但是下面的人 批評的人是多數
205400	209200	這個男的窩鬧 再堅持十分鐘 再堅持五分鐘
209200	214680	你應該這個姿勢 你應該那個姿勢 這就是真實
214680	218920	親愛的兄弟姐妹們 全世界最緊張的人是誰呀?
218960	225840	是美國有權利選票的 天主教徒 基督教徒
225840	235840	和美國的所謂的美GOT整個組織 是真正的知道真相的人
235840	239880	還真輪不著咱們去在這塊緊張著
239880	243320	這個就跟那個日本的看那個性表演的那個那個
243320	248000	性功夫舞台一樣 咱既沒這個能力上那個舞台表演
248000	252800	咱也沒資格評價人也 咱來自於世界上最糟糕的國家
252800	256800	這個最糟糕的形式都比咱最好的情況好
256800	262520	這是一個 第二個 還沒到1月20號呢 還沒到1月20號呢
262520	269360	咱就這樣 早樂必早衰 早悲必早哀 最起碼的常識吧
269360	274720	再一個 我們現在不要把自己當成一個裁判者
274720	278360	我們不是這件事情的裁判者 也沒這個能力也不應該
278360	282640	從法理從情理都不應該 更重要的事情
282640	288440	我認為這是上天送給我們爆料革命最大的禮物
288440	293400	大家覺得這個時候 全世界和美國人民最想的是誰
293400	302360	最恨的是誰 最生誰的氣
302360	305400	大家覺得這病毒就沒了嗎
305400	309200	大家覺得現在就是共產黨就沒事了嗎
309200	315160	聽說北京現在防斬首行動襲擊列為第一級別
315160	320240	內部現在已經每天都換所謂的換房 一天換好幾次
320240	326560	從過去的這個12班已經換成了現在是24班 一小時一班
326560	328400	這已經到這程度了
328440	333560	中國的缺糧食還有經濟 改變賬的經濟都變成真的了嗎
333560	336880	美國現在就可以大量的印鈔票了嗎
336880	338800	太多了 我就不想多說了
338800	345760	還有這媒體 這媒體關掉以後就覺得這美國人就是拉倒了
345760	353760	誰的媒體被關掉 未來這個被關掉者一定是贏家
353760	356280	這個時候 親愛的兄弟姐妹們
356320	361280	拼的不是耐力 拼的也不是勇氣 拼的也不是你的正義
361280	366080	拼的是什麼戰友們現在 最關鍵的時候 學學願望勾踐
367760	373200	任何懂得願望勾踐的這個歷史故事都記住
373200	379360	願望勾踐最後贏在了哪裡 是那五百個神童嗎
379360	382720	是他身邊的幾個大臣嗎 是范莉嗎
382760	389400	是他的犧牲了很多耐力嗎 都不是 是對方 是薄皮
390720	396680	是真正的無王的昏君 還有他錯誤的決定 走向了黃泉路
398720	402920	否則不可能的 現在共產黨的內亂
402920	408640	和共產黨內部的永遠無法治癒的經濟癌症 政治癌症
409480	413760	和整個十四億人民張恩子要吃飯的這種不可
414320	418400	永遠填不滿的這種怨恨 解決不了的怨恨
419040	421840	還有世界上最可怕的病毒
422600	426000	兄弟姐妹們 一個大選就讓我們大家這個樣子
426440	431480	我們未來 甭說代表十四億中國人了 代表十四個中國人都不配
433320	437240	歷史永遠是我們學習裡面的鏡子
438120	440080	更重要的事情 我們自己
441400	445080	我們自己要知己 知彼
445920	449840	但是現在看到的事情 很多人是自己大頭症 大陰症
450680	454520	也不知彼 想當然地認為對方那樣
455000	457640	現在所有的信息都是來自於媒體
458560	461480	你所認知的媒體和手機 我可以告訴大家
461800	467720	不管這個媒體有多厲害 你所知道的事實和真相是極小極小的
468440	470480	跟你原來不知道它是很大的
470720	473800	和你真相的這個需要你所瞭解的
474000	478240	和你做出的判斷所需要的信息 差距是很大的
480400	484200	恰恰的這幾天看到所謂的九個川普的醉醉醉醉醉
484960	486160	看到了人心
487400	489120	看到了美國在這個時候
490000	493600	美國這個國家這些年的這種豪華的生活
494240	497240	和在全世界當霸主的那種傲慢
498120	501720	和被共產黨攔截黃了以後的政治投機
502000	504080	甚至對信仰的丟失
505080	507080	這對美國難道不是個審判嗎?
508560	510960	這對美國難道不是個大審判嗎?
511480	513160	這難道不是個輪迴嗎?
514920	517160	如果川普總統真身的九個之罪的話
517400	519000	也是對美國最大的懲罰
519160	520520	如果不是的話
520640	522080	那是給了美國的機會
522880	523720	兄弟姐妹們
524080	525600	當你瞭解這個的時候
526000	528400	你就會知道這個世界上
528760	531000	什麼人才會是贏家 什麼人
532320	534520	這個贏家的根本在哪裡
535760	537720	我們的對手 我們的敵人是共產黨
539080	542000	共產黨現在是什麼情況
542840	545840	用自己的腦子 用自己的心 但凡想一想
546600	550800	今天美國的覺醒才是我們爆料革命最大的機會
551160	552240	但是永遠記住
552960	555840	滅共沒你不行 滅共靠中國人
556520	561000	以美滅共 以共滅共 以法滅共都是戰略戰術
561280	562520	最終靠我們自己
563280	564000	大家走著看
564280	566920	文貴會給你們帶來意想不到的禮物
567640	568320	Mugai San
568720	571680	世界上最可悲的東西就叫失望 放棄
572240	573960	永遠遠離這兩個字
574280	576560	千萬別讓自己導上這兩個字的霉
578720	580840	按得不服了 明天9點30點
581280	584560	9點30 明天上午9點30 亂聊直播
584880	585840	親愛的兄弟姐妹們
586120	588720	很多戰友給我發的信息沒有時間回 請原諒
589040	590160	太多太多了
590560	592680	明天亂聊吧 兄弟姐妹們
592920	596400	一切都已經開始勿忘香港
