start	end	text
0	7760	咱们是明天明天明天新新品上线
7760	9440	明天上午12点前
9440	12400	也就在明天直播的时候新品上线的
12400	15440	你们不知道这个这个料子有多软啊
15440	16960	这个是新的
16960	17960	这个是新的
17960	18960	这个是新的
18960	19960	这个是新的
19960	20960	这个是新的
20960	21960	这个是新的
21960	22960	这个是新的
22960	23960	这个是新的
23960	24960	这个是新的
24960	25960	这个是新的
26800	29680	你们不知道这个这个料子有多软啊
29680	31560	这个视频看着不够黑
31560	32480	又黑又软
32480	34320	罗文皮安那的
34320	37160	非常非常非常的棒
37160	38640	超级舒服
38640	39840	你看这块
39840	40400	你看这个
46400	47200	漂亮
47200	48120	漂亮
48120	50120	就是这是一个运动
50120	51560	这是一个革命
51560	54120	一个运动的时尚啊
54200	58440	人类大改变的一个一个整个的代表啊
58440	60160	这是一个文化服装
60160	63480	所以说在好莱坞很多人说这是一个文化啊
63480	66640	这将成为一个文化的运动啊
66640	69640	这是一个灭共的文化运动
69640	70920	另外一个兄弟姐妹们啊
70920	73640	就是这个我再刚刚刚发完盖特
73640	75000	再发一下
75000	81160	就是很多兄弟姐妹们关于这个G club还有G fashion啊
81200	85240	还有这个GTV等各种信息
85240	86880	现在大家由于各农场啊
86880	88760	都做的工作非常不错
88760	89720	联盟委员会呢
89720	92080	给大家做了很多很多的解释啊
92080	93960	大家都很释怀了
93960	95120	那么现在呢
95120	98200	我们还有个喜马拉雅大使馆Discord啊
98200	101360	还有在那儿经常到那儿去跟大家交流啊
101360	105320	也会很多农场都会陆续的去回答回答大家的问题
105320	107560	包括喜马拉雅联盟委员会啊
107560	110320	我也偶尔的跑那儿去跟大家聊聊天啊
110360	112200	昨天就聊的不错
112200	113480	那么再有任何问题
113480	115240	请兄弟姐妹千万记住
115240	118720	一定和核准的公告的
118720	121040	准农场和农场联系
121040	124160	或喜马拉雅联盟委员会啊
124160	125840	根据我们的公告的人啊
125840	127560	这个不能乱联系
127560	129120	另外一个兄弟姐妹们
129120	133080	任何事情可以到喜马拉雅联盟委员会去核实啊
133080	134440	千万不要上当
134440	138040	另外一个这一天买G club的人都多了
138040	139520	爆了啊
139520	141600	非常感谢非常理解
141600	142400	G club呢
142400	145760	接下来将有很多事情和战友们互动
145760	148400	还有和G club会员要互动啊
148400	149120	过一段时间
149120	153600	我们还有安排春节的跟只有和G club会员专属的
153600	156720	七哥和大家那个春节连环视频会啊
156720	158160	只给G club会员的
159040	163240	大家到时候等着通知什么办法怎么联系啊
163240	168440	另外一个就是现在我们马上有全球的G系列的代理权
168440	171880	我们有一个discord群马上也公布啊
171880	175440	所有G club G fashion啊
175440	176600	所有的啊
176600	182920	这个这个这个GTV G news G coin G dollar的代理都在那个群联系啊
182920	187040	叫G系列字符群啊
187040	188680	等通知我会发盖特的
188680	189800	兄弟姐妹们啊
189800	191480	我会发盖特的
191480	195240	那么另外一个明天是G fashion的新G产品啊
195240	197000	新的一批产品上线
197040	198680	请大家去看啊
198680	201040	价格大幅提动啊
201040	203800	大幅大幅变动
203800	206600	考虑到战友们的这个承受能力啊
206600	207440	大幅变动
207440	209680	把过去定的这个定价标准呢
209680	212640	降了一半一半还多啊
212640	216120	基本上就是不赔钱或少赔点钱啊
216120	219880	也得让战友穿上你们喜欢的文化运动
219880	222120	灭供文化运动装啊
222120	226240	还有时尚属于中国人的真正的原创的啊
226280	227880	绝对的高级的时尚
227880	228960	咱不走量
228960	230560	只走质量
230560	232160	走咱们的标准和文化
232160	234880	一切以灭供为核心啊
234880	240280	未来一系列的G Fashion会成为人类的服装界的经典啊
240280	241240	大家走着看吧
242280	243040	漂亮啊
243040	244160	真漂亮
244160	246040	在这个视频上显不出来
246040	248040	这是个问题啊
248040	249880	所以说兄弟姐妹们
249880	252080	等到你们收到大好消息的时候
252080	253840	千万别忘了啊
253880	257840	我们的G系列的点点滴滴是爆料革命
257840	259400	每个人凝聚成的
259400	261400	没有你们不可能啊
261400	262840	兄弟姐妹们
262840	264640	这是我们大家的
264640	266800	所以说我穿这衣服的时候就想到
266800	270080	当每个战友都穿上的时候什么感觉啊
270080	273400	当每个战友都穿上的时候什么感觉啊
273400	275560	绝对我我探够了
275560	276520	讨厌透了
276520	278400	在全世界啊
278400	281640	大街上穿着Lena 爱马仕包
281640	282920	穿着这个什么
282920	283960	道吉嘎巴拿
283960	284600	帕达
284600	285200	库奇
285200	285840	闪耀
285840	287240	天呐
287240	288480	俗不可耐
288480	290400	它是个高级工业品
290400	292000	它没任何个性
292000	293560	它没任何表达
293560	295360	它没有任何独特的
295360	296800	就是高级的质量
296800	297640	高级的标准
297640	299160	高级的工艺品
299160	300720	它不是文化
300720	302480	它不是时尚
302480	304880	最起码没有时间这个时
304880	306560	百年如一样
306560	308360	它是工业品的结晶
308360	311080	但是我们这是文化
311120	312240	灭共
312240	314120	信仰
314120	315720	这是完全不一样的
315720	318120	我们要彻底改版
318120	319160	货币系统
319160	320880	金融系统
320880	322200	生活系统
322200	324520	生活方式
324520	326320	这是中国人第一回吧
328440	330080	既以公元钱到现在
330080	331560	我估计是第一次了
332960	333960	你看这裤子
333960	334840	你看这
334840	336680	你看这这这这一切啊
336680	337720	太牛了
337720	339160	太牛了
339160	339720	走哪儿去
340000	340640	在哪儿买的
340640	341920	在哪儿买的
341920	343280	有些东西可以买
343280	346160	有些东西你买不了
346160	347920	行了兄弟姐妹们
347920	349240	关于G系列啊
349240	351560	代理的很多要求代理的
351560	354080	很多这个战友发的信息没法回
354080	355320	请看啊
355320	358400	喜马拉雅资浮群即将上线
358400	360360	请到那里去咨询啊
360360	361720	谢谢兄弟姐妹们
361720	362760	这些啊
362760	363360	一切
364360	365640	都是属于战友的
366760	368080	大家一定记住
368080	370360	这都是爆料革命战役
370360	371960	不管今天我们没办法
371960	373520	文贵没有账号
373520	375320	也没有任何的投资的权利
375320	377000	我个人没有
377000	382160	但是这些东西都会在机构投资者的运作以后成功后
382160	382800	咱没办法
382800	386360	咱只能求人家这大有钱的帮大款呗
386360	388960	把把咱们长大浮发大
388960	391160	然后逐渐的稀释化股权
391160	393280	在成功后逐渐的归还给战友
394360	396160	这是爆料革命的
396160	398040	这是新中国联邦的
398040	400280	这是一个时代的产物
400280	402240	没有任何东西可替代
402240	404920	当大家想到所有人谈论共产党病毒的时候
404920	405600	灭共的时候
405600	406920	共产党灭的时候
406920	411800	G翻身G club的每一个东西都成为世界上的文物
412880	413720	你信不信
413720	415920	你服不服都是这样
415920	416200	对吧
416200	417600	兄弟姐妹们
417600	419040	这就是现实
419040	420360	这就是实力
422080	423680	灭共没你不行
423680	424720	亲爱的战友们
424720	425760	兄弟姐妹们
425760	427920	一切都已经开始
428000	432440	我们现在有7分零10
432440	434520	咱留个717吧
