start	end	text
0	8940	2020年1月19號 尊敬的戰友們好
8940	16980	你們傳播CCTV 印度 香港危機 真香了嗎 亂碰 亂碰 亂碰
21680	26660	兄弟姐妹們好啊 2021年1月19號
27140	31260	想想現在還距離明天的1月20號
31260	33620	也就是大陸的時間今天晚上
34540	41540	就開始了所謂的總統和平 和平順利的過渡
43260	50140	所以這幾天共匪啊 非常緊張 全世界最緊張的就是共匪
51020	54420	這幾天據說各幫派頻繁開會
55060	60060	又礙於這個病毒怕傳染上 各種法都用出來了
61060	68780	各種所謂的老同志 春節前聚一聚啊 什麼這個聊聊病毒啊
69100	76180	分享一下子這個健保的經驗吶 談談這個現在國際形勢啊
76580	79620	各種說法 各種理由相聚
80340	84540	但是共產黨啊 都充分的認識到
85980	92900	接下來共產黨這個日子怎麼過 經濟能撐得住嗎
94020	97380	真的是這個溫家寶啊 賈慶林這封信寫得太好了
98020	104900	這個疫情危機 所謂的疫情經濟 還有一個疫苗經濟
105700	107620	會不會變成疫苗危機
108620	110620	病毒真能控制住嗎
112180	117820	這樣下去的中國靠生產 靠廉價勞工的一個中國社會
118340	121500	都不上班 這個國家社會能成下去嗎
123620	131340	現在所有的什麼電廠啊 交通啊 大型的這所謂公共危害
131340	136220	公共突發事件爆起 因為大家都沒新工作
137060	141260	不讓上班 病毒啊 更重要的事情
142020	147500	現在香港已經成為了整個的寒蟬效應
149300	152140	無論是廣東 無論是上海
153020	156300	再加上國內這些大老闆的消失被抓
156860	161900	迅速的將被國有化 以國有化的名義 給掠奪出家屬化
162820	168620	這種寒蟬效應 從外到內 從南到北 從東到西
169460	172380	像冰裂一樣 冰變一樣
172780	177500	迅速的凍結了整個國內的經濟和社會和私人經濟的信息
180380	184460	然後呢 有人提出來 要在明天20號之後
184700	186500	半年時間和美國一起
187020	191420	要把川普總統的這種不確定因素給他幹掉 默平
192900	194820	指望誰 要指望美國
195980	198260	要把美國的錢拿回自己花去
198980	205900	要靠美國市場效應和美國的再啟動的貿易
206740	212380	和強大的 共產黨一直這些年來所有的 一切所謂的強大
212620	217900	就是中美貿易 這個逆差 要重啟中美貿易逆差
218900	224500	靠中美貿易的經濟 把共產黨的經濟繼續強化下去
226820	230140	大家想到啊 花六個月要把川普總統的
