start	end	text
0	11240	咦!尊敬的戰友們好 今天是2021年1月21號
11240	15240	親愛的兄弟姐妹們啊 今天是1月21號
16240	22360	這個是最近一段時間 兄弟姐妹們
22360	25560	文貴啊是睡得最好的一晚上
26040	28360	哎呀 我這人沒心沒肺的
28720	32400	一到這個時候我就睡得特別好 特別踏實
32840	39440	昨天晚上是10點半 睡到了將近11點20
39440	45640	醒來以後工作到2點多 又睡了 再醒來的時候3點
46840	50080	然後呢工作了大概在5點左右
50080	54880	4點多左右 一覺睡到了7點 舒服的不得了
54880	60520	起來趕快處理信息 打幾個電話 開個小視頻會議
61000	67040	然後馬上健身 我說健身
67040	70840	太多戰友們要求這個回覆了 給我的信息了
71320	77120	然後我就想 直播 軟尿直播 就這樣
77800	83000	現在坐在這了 剛才我上去健完身 沖完涼下來
83040	88000	差一分鐘時間出現在鏡頭前 相當的不撓
88360	92920	兄弟姐妹們 我這兩天的深刻的感受
92920	98520	我在昨天和大衛兄弟直播當中 我曾經說了一段
99200	102960	那麼我現在更加有感觸的 就是想起了另外一段
103400	107800	就是從昨天到今天的感受 是中午12點以後
108640	111520	當時十八大前 兄弟姐妹們
112200	115960	十八大一確定了習肯定上臺
116200	119360	王岐山當中紀委書記常委的時候
120560	128760	當時中國商界最牛的幾個人 馬雲 肖建華 王健林
129760	140040	徐家印 葉簡明 任志強 蘇厚 潘石屹
143640	145720	大家都知道這幾個牛叉怎麼牛的
146400	152280	都是跟姐夫 跟小舅子 還有王岐山 姚慶
153160	156360	什麼孫瑤 冠軍 劉呈傑 都好
157360	161800	但所有這些人 都是眼睛看向南方
162760	167480	叫海南島 一個公司叫海航 陳峰 王健
169400	176400	一度時間 十八大前確定以後 是全國的企業家往南飛
176600	182960	當時最明顯的就是董文彪 民生創始人 還有那個行長洪奇
183960	190640	還有北京市副市長 狗中文 當時狗中味 當時狗中文
190640	194400	哇塞 晃騰晃騰的 現在還成了北京市牛 牛叉人了
194640	201400	全都往海南跑 然後跑完海南 家裡人都去香港
202320	205040	香港四季酒店見肖建華
207960	211800	然後有時去上海見葉簡明
213920	219160	當時所有人 就是我郭文貴這號的
219160	223000	當年挑戰王岐山幹劉志華的 哇塞!
223760	229640	一度一下子 我突然發現旁邊怎麼這些人的眼神都變了呀
229640	231520	看我都像見鬼似的呀
233120	238000	然後好心的朋友和家人 約我吃飯
239000	246840	都是喝酒喝差不多的時候 給文貴呀 這個大勢已去
249000	256280	現在習王上來 王岐山是中紀委書記 想殺誰殺誰 想抓誰抓誰
258000	261920	雖然習對你不錯 但是習要依靠王岐山的
262920	271000	而且你跟胡以及知情派都不錯 這些人非要拿你開刀啊
272240	277400	那個時候的感覺兄弟姐妹們 那可是你們不在身臨其境
277400	280720	你是無法想 因為中國共產黨它想幹啥就幹啥
282400	288120	現在美國民主黨和拜登總統擁有的權力加一堆
288320	292040	還不是王岐山的中紀委常委書記的一個零頭大呢
294200	301120	後又加一孟建柱啊 王岐山還不算數 還有個孟建柱啊 還有個孫立軍啊
302880	308920	當時河南省鄭州市公安局局長 介紹我和孫立軍認識的人
310480	314160	這個人跟我真是 這是我真是共產黨當中最好的一個人
314160	317720	聽說最近癌症末期在監獄裡邊已經不行了
318800	322280	他是我尊敬的一個老兄長 非常了不起
322800	329360	實際上我和劉彥平和孫立軍的中間聯絡人士是黃寶衛先生
330400	334640	黃寶衛先生到最後一句話也沒替我說 但是我特別的尊敬他
335000	337320	因為他在那個位置也替我說不了什麼
337960	340440	但是孫立軍找他聯絡是我指定的
340440	344120	我說咱們聯絡的人還有孟建柱 孟建柱說你覺得像誰 我說像寶貝啊
344800	347080	是吧 當年我是通過寶貝認識你們的
347360	350200	給你們的奧運會的入場券還有包廂啊
351400	354680	當時寶貝最早就是這個十八大找我說 文貴
355360	359360	你真的要做好準備了 我救不了你
361440	366280	孟建柱 傅振華 孫立軍 王岐山
367360	371720	還有北京當年因為劉志華案抓走的三千多個企業家和官員
372360	375640	這股力量 你有一萬個腦袋你也不夠他們砍的
378480	380720	文貴 你現在就是案板上的肉了
384360	387320	這還不說 我記得當時特別有意思
388520	393800	當時軍隊 當時房峰輝 秘密約我
394160	398800	房峰輝啊 約我以後在西山八大柱一個點上
398840	404000	哇塞 那個點老豪華了 都是那翠啊 用那玉和翠啊 裝在那牆
405880	408840	房峰輝 見我 我一過去以後
409120	413360	哈 傢伙這哥們裝的可深沉 直接不吱聲一揮手
413760	418960	地下室 啥啥啥 我說到地下室了 真的是我的恐懼啊
419720	425360	文貴你要小心啊 這個王岐山現在已經定為常委
426000	430320	管中紀委 習王政府 文化大革命時代到來
431480	434960	就你跟習家那點關係 還有你那點資源 完了
436480	440200	趕快跑 大家別忘了啊
440920	444520	2012年到2014年我離開
444760	448720	將近兩年本人一直在中國 在北京 沒走
449560	453400	我還告訴大家 中間有一次我去上海
453400	456400	我是第一次我是坐高鐵去上海
458320	462120	我記得特別有意思 就是當年的臘巴的時候
462600	465120	就是前天 1月19號
466320	469720	就是我們路德訪談的大日子 整個1月19號
470000	474840	定好了什麼呢 是兩個包廂 專箱
474840	480440	我們啥都上去了 突然打電話讓我下來
483760	485880	當時文貴啊 王岐山要拜你
487880	491960	所以說兄弟姐妹們 我就昨天一下子就覺得好像
492440	495280	就到了那個時刻 我記得特別有意思
495280	499560	蕭建華給我打電話 讓他的包頭商行的行長說
499560	503880	老蠱趕快 老蕭要給你通電話 老蕭要通電話
504720	508440	通電話我說幹嘛啊這是 老蕭說我得到確切消息
508640	513280	王岐山要把你徹底直接就把你滅掉 快跑
515120	517240	我說蕭建華你還是保重吧
518480	522080	這個當時我到上海去 我見了上海幾個地產老闆
523200	528000	這幾個地產老闆跟我說的更邪乎 說我得到確切消息
528880	535200	孟建柱說的 必須把郭文貴這個傢伙得活潑的都不拉倒
535480	536560	活潑我都不拉倒
543360	547440	你說兄弟姐妹們 當時我聽到那個感覺說
548280	553360	家人 家族企業 事業全在北京
553880	559000	而且那個時候 那個危險 那是一個獨裁呀
560160	564320	什麼小槍刀槍 刀槍把子 刀把子全都是王岐山
564720	566160	還沒人控制著呢
569680	574200	而且當時 說我是另計劃同黨
575000	581440	把我列為顛覆國家和政權的最重要的其中一份子
581480	585480	哇塞 今天想起來 他們也沒弄錯
590440	594240	也沒弄錯 共產黨啊
596080	600720	那個較量 那是面對面的較量 兄弟姐妹們 是吧
601080	604640	那是每秒鐘那都是天翻地覆的 生死存亡
605480	610240	當時給我說這些所謂的 說人家對不對 他們全錯了
611760	614240	他們對大事沒有任何一個判斷
615240	619960	習王上來 他最大的一個敵人 他要清理自己
620640	625560	存在的各種威脅 和隨時被做掉的這種可能
626800	630480	包括習王當時最激烈的共青團
631000	635480	共青團 後來大家知道孫政才 軍隊方鋒輝
637080	642520	許才厚 郭伯雄等等等 一百萬共產黨員
643200	649160	他要想幹成 他必須得讓豬都知道 得讓自己先安全了
649960	654800	如果自己有把柄被人抓著 又沒有完全固定好地盤
655280	658600	你就貿然出擊 那你這不是找死去了嗎
659280	663160	一個到了這個份兒上的人 他絕對不會貿然行事
663760	668040	即使他想貿然行事 他周邊人會告訴他 千萬別這樣
668400	671000	就像當年川普總統要把我遣返一樣
671360	675360	旁邊有班農 有Petinger 有賽欣斯
676840	681360	這麼多人告訴他說 不能動 郭文貴是我們國家的戰略資源
682400	684760	結果川普沒動 他動了以後他就是災難
685240	688920	他不但動不了我 川普總統會成為美國毀壞憲法
690080	693760	他早就被彈劾了 一樣的道理
694840	702520	當時共產黨 習王政府 他一定先滅軍隊裡邊威脅郭伯雄 許才厚 方鋒輝
703520	709760	地方要弄這些大員 要員 那就是孫政才 等北京市政府
710000	713880	他先拿下北京 要拿下上海 然後拿下廣東
715760	721120	這才是第一波段 到第二波段 想起我的時候 輪到我的時候
721600	725800	他就是一定先拿掉令計劃 拿掉李源潮
726200	729120	他不拿掉令計劃 李源潮怎麼可能 哪有一個人說
729480	734360	是不是 先動你的小竹子 這是個基本的常識
737360	743800	然後王岐山這個人 他要比任何是美國政界加一堆人都陰都狠
745720	749320	王岐山很清楚 他也不想弄得粉身碎骨
750040	752400	他知道 他跟旁邊的人說過
753440	757160	郭文貴想當年能把北京市政府端掉三千多人
757440	761960	能把劉志華給端進去 我們務必小心
762520	765760	多次研究方案怎麼對付我 說這小子手裡有啥
766240	771640	他能拿出啥 你不知道 還有這小子跟西方的溝通 你不知道
771960	776800	再一個在情報部門 他有什麼 埋什麼釘子你不知道 務必小心
779160	781960	所以說當時習王還是聰明的
790600	797400	所以說兄弟姐妹們 當時我所面臨的處境
798800	800240	就是我那天我說的
802320	806320	那真是冰凍的感覺 啪一聲
806720	810200	就當時這個情況以後 我知道我多年二十幾年的布局
811000	815200	瞬間被令計劃兒子的法拉利車禍
817320	819840	被法拉利給搞掉 大家千萬別忘了
820880	828800	2012年習王上臺以後 我開始併購方正集團 海通證券
829800	834960	千萬別忘了 當時是全中國商界認為我是絕對是已經是
835920	840320	不是吐埋了脖子上 人已經是就是放到死亡名單上
840320	841560	直接掛牆上的人了
843680	853080	我20121314拿下方正集團 拿下海通證券
853080	857360	海通證券 還有你們不知道的
858680	864160	我在短短的兩年的時間內 為家族和基金融資
865920	874000	達600億 所涉及的金融證券的勾斃 達3000億
875840	876760	就是那時候幹的
877240	884200	為什麼 當你有明確的敵人的時候 和危機的時候
885200	889880	如何將危機化為真正你的機會 這不是吹牛的
891400	894680	這個世界上絕大多數只會說他不會做
895440	901560	把這些所有的真正的人生戰略和人生的戰術
901560	908680	戰略和人生的戰術當成了一飲口飲和人生失敗的藉口
909120	911520	而不是行動的真正的一個辦法
916000	918280	就像在清風看書所出來以後
919000	923080	所有人都會說出來以後重新做人 如何如何的
923360	927560	從來沒有人把看書所裡看到的 聽到的 學到的
927560	930880	變諸為物理化的行動和結果
932560	939560	我非常清楚 必須跟外國合作 必須團結國際力量
939560	946800	必須有巨大的財富 才能逐漸實現我的目標 才能接近我的目標
948160	953640	我做到了 我做到了
953680	954480	我做到了
955880	962800	當時盤古在北京市 《新京報》登出
963600	970760	北京市青年報 盤古拍賣 任志強 潘石屹等人
971480	975520	和劉志華的女朋友王健瑞勾兌完
976120	978600	我在飛機上呢 這樓就給賣了
979120	981600	就沒人給我連 連個科長都沒跟我聯繫過
981880	982960	這樓就給你賣了
984640	990200	這就成了北京的市政府的了
992440	995960	兄弟姐妹們 你想想那是多可怕呀
997720	1001840	你天上飛著 你家沒了 樓沒了
1005440	1009000	當時2003年 2004年
1009800	1014120	那個最爛的爛人那個顏彬 帶著幾個女當兵的穿著軍裝
1014560	1016520	然後胸大的把扣子都快撐斷了
