start	end	text
0	27240	大家猜猜我现在耳机跟谁在通话呢?
30000	52560	叫狗撒尿啊,太棒了,这雕塑啊。
52560	63160	真希望这种美丽的雕塑,未来我们和战友们更多的分享。
63160	79840	兄弟姐妹们,新中国联邦和爆料革命,
79840	87760	它不但成为世界的主角,而且会真的拯救全人类。
88760	98160	我们每个人每时每刻付出的时间、时光、承担的风险都是值得的。
98160	104160	因为我们在改变着这个被共产病毒魔鬼控制的世界,
104160	110160	我们时时刻刻地拯救了很多善良的人,这个太重要了。
110160	113760	所以亲爱的兄弟姐妹们,特别特别感谢每个人,
114160	120560	你们有意的、无意的、不惜代价的承担的风险所创造的传奇。
120560	125560	每个传奇,我们不需要任何人记忆,也不需要每个人记住,
125560	131960	但是每个传奇都将改变这个丑陋的世界上那些魔鬼的命运,
131960	136960	让他们尽早地进地狱,让好人过得越来越好,
136960	141360	真的让好人的明天更美好,让坏人没明天。
142360	146160	所以说,新中国联邦爆料革命,
146160	150160	让我们每个人的生命都附上了不同的意义,
150160	152360	真的感觉到很幸福。
152360	154760	亲爱的兄弟姐妹们,
154760	158160	当你们感受到每时每刻这一切的变化的时候,
160260	161860	感受到这个世界的变化的时候,
161860	164560	想想有多少事情跟你有关系,
164560	167760	有多少事情就是因为你的勤劳和付出,
167760	172960	把眼睛搞花了,把这个家庭搞得甚至不和睦了,
172960	174260	甚至被别人误解,
174260	176760	但是你在做着对的事情,
176760	180160	你在拯救着世界,太了不起了。
180160	182060	我刚刚在会议当中,
182060	185160	听到别人被我们改变,
185160	186160	被我们影响,
186160	187960	认识到共产病毒,
187960	191260	认识到CCP流氓和冠状病毒真相的时候,
191260	192960	我特别特别感动,
192960	196460	我特别想把这种感受分享给所有的战友们。
196460	198760	真的,战友们,你们太伟大了。
198760	203360	文贵能今生今世和你们一起战斗是最大的荣幸,
203360	204460	太了不起了。
204460	209460	就是一个个无名的无私的战友们,
209460	212660	他成就了这个不可思议的伟大人类的正义事业,
213760	215360	太了不起了。
215360	222160	我不知道该如何传达这些人对我们爆料革命新中联邦的感激和感动和敬佩,
222160	226960	这个世界上勇气和正义是最稀有的。
226960	232360	那么我们现在是世界上少有的拥有这些高贵品质的人,
232360	235260	大家真的可以去喝酱油亲自己的脸了。
235260	236260	太棒了。
236260	236960	母该塞。
238160	240660	我不可怜你们了,不哽哽了。
240660	244460	我哽哽以后,治痔疮,治痔疮。
244460	245260	很多战友反映,
245260	248360	痔疮病好了,西哥别哽哽了,别哽哽了。
248360	250660	再哽哽就不是痔疮了,
250760	253160	就脱肛了,中了。
253160	254260	为了不让大家脱肛,
254260	255460	我就不哽哽了啊。
257260	258060	不哽哽了,不哽哽了。
