start	end	text
0	14400	虎汝
30000	53000	大家猜猜我要去哪里啊 大家猜猜我要去哪里啊 大家猜猜啊
54000	65000	看有人猜準了嗎 有人知道我去哪里啊 嗨 有人猜準了 戰友們厲害啊
73000	80000	大家猜我去 大家竟然猜對了我去自由女神 去幹嘛去自由女神呢
80000	88000	大家覺得我去自由女神去幹嘛去啊 兄弟姐妹們
110000	112000	美麗
140000	145000	Where is the music
149000	154000	戰友們 你們剛剛的離開這裡 七哥就來了
154000	170000	你們剛剛的離開這裡 七哥就來了 七哥就來了
170000	176000	這就是你們剛剛離開你們太會的地方 對吧 就這個地方
184000	190000	是誰 是誰放在我們的炮池
214000	243000	你們戰友們就是在這個最高的地方 在這
244000	246000	就在這個位置啊
274000	279000	Where is the music
293000	301000	我們就是在這裡 看到了嗎 就在這個位置啊
304000	309000	太漂亮了 太漂亮了 是吧
334000	364000	啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊 啊
364780	365500	谢谢
369980	370580	谢谢
394000	398000	快
398000	402000	快
402000	406000	快
406000	410000	快
410000	414000	快
414000	418000	快
418000	422000	快
422000	426000	快
426000	430000	快
430000	434000	快
434000	438000	快
438000	442000	快
442000	446000	快
446000	450000	快
450000	454000	快
454000	458000	快
458000	462000	快
462000	466000	快
466000	470000	快
470000	474000	快
474000	478000	快
478000	482000	快
482000	486000	快
486000	490000	快
490000	494000	快
494000	498000	快
498000	502000	快
502000	506000	快
506000	510000	快
510000	514000	快
514000	518000	快
518000	522000	快
522000	526000	快
526000	530000	快
530000	534000	快
534000	538000	快
538000	542000	快
542000	546000	快
546000	550000	快
550000	554000	快
554000	558000	快
558000	562000	快
562000	566000	快
566000	570000	快
570000	574000	快
574000	578000	快
578000	582000	快
582000	586000	快
586000	590000	快
590000	594000	快
594000	598000	快
598000	602000	快
602000	606000	快
606000	610000	快
610000	614000	快
614000	618000	快
618000	622000	快
622000	626000	快
626000	630000	快
630000	634000	快
634000	638000	快
638000	642000	快
642000	646000	快
646000	650000	快
650000	654000	快
654000	658000	快
658000	662000	快
662000	666000	快
666000	670000	快
670000	674000	快
674000	678000	快
678000	682000	快
682000	686000	快
686000	690000	快
690000	694000	快
694000	698000	快
698000	702000	快
702000	706000	快
706000	710000	快
710000	714000	快
714000	718000	快
718000	722000	快
722000	726000	快
726000	730000	快
730000	734000	快
734000	738000	快
738000	742000	快
742000	746000	快
746000	750000	快
750000	754000	快
754000	758000	快
758000	762000	快
762000	766000	快
766000	770000	快
770000	774000	快
774000	778000	快
778000	782000	快
782000	786000	快
786000	790000	快
790000	794000	快
794000	798000	快
798000	802000	快
802000	806000	快
806000	810000	快
810000	814000	快
814000	818000	快
818000	822000	快
822000	826000	快
826000	830000	快
830000	834000	快
834000	838000	快
838000	842000	快
842000	846000	快
846000	850000	快
850000	854000	快
854000	858000	快
858000	862000	快
862000	866000	快
866000	870000	快
870000	874000	快
874000	878000	快
878000	882000	快
882000	886000	快
886000	890000	快
890000	894000	快
894000	898000	快
898000	902000	快
902000	906000	快
906000	910000	快
910000	914000	快
914000	918000	快
918000	922000	快
922000	926000	快
926000	930000	快
930000	934000	快
934000	938000	快
938000	942000	快
942000	946000	快
946000	950000	快
950000	954000	快
954000	958000	快
958000	962000	快
962000	966000	快
966000	970000	快
970000	974000	快
974000	978000	快
978000	982000	快
982000	986000	快
986000	990000	快
990000	994000	快
994000	998000	快
998000	1002000	快
1002000	1006000	快
1006000	1010000	快
1010000	1014000	快
1014000	1018000	快
1018000	1022000	快
1022000	1026000	快
1026000	1030000	快
1030000	1034000	快
1034000	1038000	快
1038000	1042000	快
1042000	1046000	快
1046000	1050000	快
1050000	1054000	快
1054000	1058000	快
1058000	1062000	快
1062000	1066000	快
1066000	1070000	快
1070000	1074000	快
1074000	1078000	快
1078000	1082000	快
1082000	1086000	快
1086000	1090000	快
1090000	1094000	快
1094000	1098000	快
1098000	1102000	快
1102000	1106000	快
1106000	1110000	快
1110000	1114000	快
1114000	1118000	快
1118000	1122000	快
1122000	1126000	快
1126000	1130000	快
1130000	1134000	快
1134000	1138000	快
1138000	1142000	快
1142000	1146000	快
1146000	1150000	快
1150000	1154000	快
1154000	1158000	快
1158000	1162000	快
1162000	1166000	快
1166000	1170000	快
1170000	1174000	快
1174000	1178000	快
1178000	1182000	快
1182000	1186000	快
1186000	1190000	快
1190000	1194000	快
1194000	1198000	快
1198000	1202000	快
1202000	1206000	快
1206000	1210000	快
1210000	1214000	快
1214000	1218000	快
1218000	1222000	快
1222000	1226000	快
1226000	1230000	快
1230000	1234000	快
1234000	1238000	快
1238000	1242000	快
1242000	1246000	快
1246000	1250000	快
1250000	1254000	快
1254000	1258000	快
1258000	1262000	快
1262000	1266000	快
1266000	1270000	快
1270000	1274000	快
1274000	1278000	快
1278000	1282000	快
1282000	1286000	快
1286000	1290000	快
1290000	1294000	快
1294000	1298000	快
1298000	1302000	快
1302000	1306000	快
1306000	1310000	快
1310000	1314000	快
1314000	1318000	快
1318000	1322000	快
1322000	1326000	快
1326000	1330000	快
1330000	1334000	快
1334000	1338000	快
1338000	1342000	快
1342000	1346000	快
