start	end	text
0	8000	好,兄弟姐妹们大家好啊,今天是6月20号,踢歌乱聊直播啊
8000	12000	这个,这个很多战友呢给我发了很多信息
12000	17000	然后说这个在国内啊,听了这个英雄的歌呢,特别特别喜欢
17000	21000	然后呢,有个战友呢,说他的家人都是做音乐的啊
21000	24000	他们家人觉得这个歌做的特别棒
24000	28000	特别是,哦哎呦,哦嗨呦,哦嗨呦的特别好
28000	32000	但是别人演错了,哦哎呦,哦嗨呦不是叫床的意思啊
32000	38000	哦嗨呦,哦嗨呦是我们的,哦嗨呦是我们的唐平老师,威廉皇老师啊
38000	42000	创作的歌曲的其中的一个副歌的灵魂部分啊
42000	46000	所以说特别高兴啊,国内的那么多战友喜欢
46000	48000	而且大量的在传送着
48000	53000	对蒙古的很多朋友同胞们啊,这个有很大的激励啊
53000	56000	这是我们最想起到的作用啊
56000	60000	特别是,是谁啊,这个话都很喜欢
60000	64000	是谁啊,霸占了我们的牧场,是吧
64000	67000	是谁抢夺了我们的牛羊
67000	70000	是谁揉炼我们的妻女
70000	73000	是谁啊,这个伤害了我们的母亲
73000	75000	这都太有力量了
75000	81000	所以说唐平啊,妹妹还有这个威廉王兄弟,真是做的太棒了
81000	85000	那么,另外一个就是兄弟姐妹们,这两天我们再开始这个
85000	88000	以黄灭共,以黄灭共啊
88000	92000	以黄灭共一开始啊,各种材料发来的很多很多
92000	97000	但是呢,谢谢这些战友的同时呢,要注意安全
97000	99000	一定要注意安全
99000	102000	另外一个就是这个,有些呢,七哥能用啊
102000	105000	绝大多数我还不能用,只能做参考
105000	109000	因为你知道七哥的原则是,不是亲身经历的
109000	114000	我是不会说的,我是亲身经历的,我自己验证过的
114000	117000	另外一个,有些尺度太大
117000	121000	你连七哥这种,在毛屎坑里游泳了三十年的人
121000	123000	看完以后都吓一大跳,是吧
123000	129000	这个在心灵上不舒服,肉体上,生理上也不舒服
129000	132000	有些尺度实在太大太大太大
132000	137000	特别是像七哥这种啊,这种性格的人
137000	140000	特别是我对女性,说实在话
140000	145000	开展这个以黄灭共对女性的尊严和隐私的保护上
145000	147000	是七哥最矛盾的
147000	150000	再一个辨别,这些以黄灭共当中
150000	156000	谁是好人,谁是坏人,对七哥来讲是非常非常小心的
156000	160000	所以战友,不论任何人以黄灭共的同时呢
160000	163000	大家一定要记住,你别把自己给黄了
163000	166000	以黄灭共,黄子黄子把自己给黄了
166000	169000	这就是咱们的巨大失败了
169000	173000	就是我们要保持对女性的尊重,对隐私的尊重
173000	178000	还要保持着一个真的不能乱来,不知道逮着谁弄谁
178000	182000	我们每个人都是从生殖器出来的
182000	185000	说好听叫子宫,说难听就是女性生殖器
185000	188000	都是从父母的结合器出来的
188000	194000	我觉得一个在地球上最神圣的就是男女的生殖器
194000	197000	严格讲那是我们的大本营
197000	204000	我们的本尊,本公,也是因其原落的一个根本
204000	207000	也是一个一个轮回的开始
207000	214000	所以说任何一个国家民族宗教对这个整个人性的延续
214000	218000	和我们的人性的本尊有任何侮辱
218000	223000	或者虐待,或者鄙视,或者是不公平的对待
223000	225000	都会受到惩罚的
225000	231000	我觉得世界上最神圣的就是这两个神圣的物品了
231000	233000	我认为它就是阴阳世界
233000	238000	男性的生殖器就是阳,女性的生殖器就是阴
238000	243000	这就为什么中国的这个所谓突为阳,凹为阴
243000	248000	那个突字和凹字我在学习这俩字的时候我记得特别清楚
248000	250000	在这个学校的小时候记不得
250000	254000	就是老是突凹的字写不明白
254000	256000	我那是小学一年级的时候
256000	260000	结果就被老师在那个黑板上去写
260000	262000	我傻的,为什么是突和凹这样的
262000	264000	老问老师为什么
264000	266000	最后老师就把我叫到那个前面说
266000	268000	啥是突知道吗?
268000	270000	突了你小哭啥?
270000	272000	你这就叫突
272000	274000	旁边那个,旁边那谁?
274000	276000	那小燕子,她那就叫凹
276000	278000	我一下就记住了
278000	283000	突就是阳系,凹就是这个女性的生殖器
283000	287000	然后老师又说了,你就是来自那个凹的地方
287000	290000	这一下的意义深刻,叫我给记住了
290000	292000	所以突和凹
292000	296000	最近走入我生命记住最清晰的俩字
296000	299000	咱们的突就是阳
299000	301000	凹就是阴
301000	304000	后来万事万物就是阴阳
304000	306000	在我脑子印下来深刻
306000	308000	都是有半叠天
308000	310000	有太阳,有月亮
310000	312000	有男,有女
312000	314000	有女
314000	316000	男即是阳,女即是阴
316000	318000	男即是凸
318000	320000	这个女的就是凹
320000	325000	后来这个世界很多事情都是跟阴阳、凸、凹有关系
325000	327000	那么后来大家看到
327000	329000	徐哥很喜欢这些
329000	331000	就是过去的叫神学
331000	333000	咱们现在叫神学阳系
333000	335000	过去就是学啥呀?
335000	337000	在中国就是什么?
337000	339000	就是所谓的鬼学
339000	342000	还有特别是那小神通
342000	344000	都像普通人一样极为感兴趣
344000	348000	武侠小说曾经一段时间感兴趣
348000	350000	感兴趣很快就过去了
350000	355000	马上就对着这些鬼鬼道道的神神道道的事就去了
355000	357000	这一进了神神道道以后
357000	361000	我发现凸凹的世界阴阳的世界
361000	363000	大有乾坤
363000	365000	奥妙无穷
365000	367000	原来所有的世界神学
367000	370000	也都是围绕着这个两个主题在转移的
370000	372000	所以当我们现在
372000	375000	在全世界开展了爆料革命新中国联邦的时候
375000	378000	我们又要面对这个世界上
378000	380000	最根本的根本
380000	381000	又是男女
381000	384000	如果男女的世界你把它形容成一个
384000	386000	做的很龌龊
386000	388000	或者把它只作为利用
388000	390000	你不知其中之神圣
390000	392000	也不知其中之奥妙
392000	394000	那你就会掉到这个坑里边去了
394000	396000	那你就再出不来了
396000	398000	那就是黑洞
398000	403000	如果你能把这个奥妙能窥似其一二
403000	405000	能知道其中之一力量
405000	407000	又不失去你的本尊和尊重
407000	410000	那你就会得到一个太阳系
410000	412000	炙热到可以燃烧一切
412000	414000	给你无穷无尽的力量
414000	418000	那你如果能把黑洞和太阳系做平衡好
418000	423000	你就可以创造出无数个新的世界和新的生命
423000	426000	以黄灭共本质在哪里
426000	428000	每个人每天
428000	430000	你甚至每个人都拥有自己的
430000	432000	这是上天公平的
432000	434000	你要么拥有突
434000	435000	要么拥有凹
435000	437000	你都拥有半个世界
437000	440000	当你去读懂另外半个世界的时候
440000	442000	你就拥有了整个世界
442000	445000	当你把这两个世界当成完全垃圾
445000	447000	不尊重的时候
447000	449000	那你就会失去这个世界
449000	452000	突凹之间就是整个的百分之百
452000	457000	所以中国人的文化的阴阳太极实在是妙极了
458000	460000	妙极了大家记住
460000	464000	你看看那个一个女一个少是吧
464000	466000	那个非常有意思的
466000	468000	这个看看阴阳
468000	471000	看看这个齐门遁甲
471000	473000	看看我们过去的几年的历史
473000	475000	在这个商朝的时候
475000	477000	在这个铜器之上
477000	480000	雕刻的男女的凸凹
480000	483000	包括在这个几千年前
483000	485000	在这个铜器之上现在发现的
485000	488000	对这个男女是描述
488000	489000	说白了
489000	493000	人类的根本都在那事上了
493000	495000	所以说你不去面对这个事
495000	497000	那说明你自己没这个能力
497000	500000	或者你根本没弄清楚生命的本质
500000	502000	叫自然资源啊
503000	505000	我们就是我们的佛教
505000	506000	我们这佛教里面
506000	508000	还有基督教
508000	511000	天主教都对此有详尽的描述
511000	513000	描述的非常的清楚
513000	516000	而且在两千多年前的佛教
516000	520000	对这个方面有了非常清醒的认识
520000	524000	虽然让你戒御断因缘
524000	530000	少掉我们人类的这些因缘的轮回
530000	532000	然后让你超脱自己
532000	534000	但是你如果你不来到人间
534000	535000	你超脱谁去
535000	536000	你就不用超脱了
536000	537000	是吧
537000	539000	那你来到人间的这个本体
539000	542000	就是一个初熬的阴阳的世界
542000	544000	男女的结合
544000	548000	所以说当我们面对宗教信仰
548000	550000	正义和邪恶的时候
550000	552000	你不要回避这个话题
552000	553000	关键你怎么看待
553000	556000	那么这几天从以黄灭共
556000	559000	我们看到很多战友们发出的各种图片
559000	562000	比如说中国人民解放军
562000	565000	人民解放军
565000	567000	他是来解放人民了吗
567000	569000	他发现没解放人民
569000	571000	他解开了人民的裤腰带
571000	576000	他没解放人民的吃穿安全的问题
576000	578000	那他解放什么呢
578000	580000	人民需要他解放什么呢
580000	582000	当这个人民没有敌人的时候
582000	584000	他解放谁呢
584000	588000	没有美军没有日军的威胁恐吓
588000	591000	也没有来自北朝鲜的威胁
591000	593000	那你解放人民什么呢
593000	594000	结果发现
594000	597000	解放军在文化大革命期间
597000	599000	所谓的中国的政府官员
599000	602000	解开了人民的裤腰带
602000	604000	这个人民的裤腰带
604000	608000	特别是妻子母亲姐妹
608000	611000	他都是有人类自始至终
611000	613000	有人类开始
613000	615000	有社会开始
615000	617000	有人类有管理开始
617000	619000	就有规则
619000	622000	这母亲她要受到孩子的保护
622000	624000	丈夫的保护
624000	626000	她属于丈夫属于家庭
626000	630000	姐妹她属于兄弟姐妹和父亲保护的对象
630000	633000	妻子那是必须受到丈夫保护
633000	636000	受到周围的兄弟姐妹的保护
636000	637000	是一样的
637000	639000	这是叫组成的家庭关系
639000	642000	社会关系的根本就是
642000	646000	性的开始和性的安全
646000	649000	和性的诞生的家庭的延续
649000	652000	这是神圣不可侵犯的
652000	654000	那么共产党来了以后
654000	656000	把人类的几千年
656000	658000	特别在中国几千年文明文汇里面
658000	659000	这个文化里面
659000	664000	他把妻子和丈夫之间互相保护的权利
664000	666000	共产党把这个
666000	670000	属于妻子的丈夫的性权利给拿走了
670000	674000	这些领导的妻子想喝神水喝神水
674000	676000	像瑞成刚是吧
676000	679000	瑞成刚跟这些领导的老婆睡
679000	681000	那瑞成刚有媳妇啊
681000	685000	他等于剥夺了瑞成刚老婆的生死期权利
685000	688000	同样很多妻子被这些领导给弄走
688000	689000	搞双休息
689000	692000	剥夺了很多丈夫应有的权利
692000	694000	丈夫本来应该保护妻子的
694000	696000	没有能力保护
696000	700000	被迫的看到了妻子被人家给侵占和欺骗
700000	701000	妻子也是一样的
701000	702000	丈夫也是一样的
702000	704000	姐妹也是一样的
704000	707000	这对每个人的心灵和社会关系
707000	709000	人类关系造成巨大伤害
709000	711000	而最重要的事情
711000	714000	是这个共产党利用组织
714000	717000	利用所有的所谓政治权利
