start	end	text
0	17040	郭文貴在這會兒突然襲擊亂聊直播
17040	22080	今天你看我大週壹的現在穿著休閒裝
22080	24960	因為今天是有任務有行動
24960	28880	有任務有行動 裝神弄鬼 裝神弄鬼
29360	32920	這個也沒給大家通知我就直播了
32920	38240	因為這個在直播前的前十分鐘也沒想直播
38240	41160	我說真的是我的手機看不完了
41160	42880	還有兩個戰友喝多了
42880	45480	喝多了就給七哥發信息
45480	47680	戰友發的信息我是壹定要看的
47680	50640	這喝多了就壹直發啊
50640	52640	壹直發
52640	55000	還有很多戰友發了很多很多很多信息
55840	58960	今天是楊麗的三月八號
58960	60280	很多戰友記得呢
60280	66200	我的老娘是兩周年是三月八號
66200	68600	是的在楊麗上是三月八號
68600	69840	但是中國人呢
69840	73840	特別我們山東人都過這個農曆
73840	76920	農曆是2月2龍抬頭
76920	81080	也就是這個下週星期天2月14號
81080	83000	2月14號
83000	87080	那麼2月14號本來這是壹個家裏吧
87080	89960	我們要這個按照山東的規矩
89960	92400	開始這個守壹天
92400	97160	做壹些比較儀式化的壹些過程
97160	98400	但是呢
98400	99920	很多戰友關心
99920	101400	很多戰友關心
101400	103360	很多戰友發來各種問候
103360	104520	說實話兄弟姐妹
104520	105680	我這沒法壹壹的回
105680	107320	請你們能夠諒解
107320	109000	沒法壹壹的感謝
109040	111040	那麼2月14號呢
111040	113240	我就直播
113240	115200	大概10點鐘左右
115200	117520	90點鐘我直播壹下
117520	119920	直播壹下就是應很多
119920	123160	我們在這個中國院校
123160	129040	社會科學研究方面的歷史學家的要求下
129040	131440	咱們的戰友要求下
131440	133320	就文貴聊聊這個
133320	137560	就是叫大家重新認識壹下母親這個角色
137600	139360	重新認識壹下母親這個角色
139360	140400	我覺得這個特別好
140400	141880	這個事啊
141880	144360	我覺得剛才我找我還專門找了壹個
147880	148360	算了吧
148360	149200	那天壹起來吧
149200	149880	別今天了
151960	155960	所以我就決定2月14號
155960	158760	那天上午直播
158760	161640	跟大家聊聊母親這個話題
161640	166040	我覺得我壹個人再給老娘在這塊念經啊
167000	172480	祈福都不如讓所有的更多的戰友們和中國同胞們
172480	175160	了解更多關於母親
175160	176200	咱們別光說
176200	177320	咱得做
177320	178520	咱得做
178520	181600	我覺得中國了解母親
181600	183320	了解中國的女性
183320	186080	就是了解了整個中國的歷史
186080	188000	我覺得是特別重要的
188000	188960	所以說呢
188960	191280	首先壹個感謝戰友們的問候
191280	193200	咱們2月14號上午見
194200	197520	第二個我想給大家說壹下這個G-News啊
197520	199600	G-News最近這個文章啊
199600	202000	還有G-News的影響力
202000	204520	可以說是很多戰友都是忽視
204520	206440	大家沒有註意到的
206440	210920	我們的G-News的整個的關註人數
210920	215280	關註人數是大概GTV不是我前面說的三倍四倍
215280	216440	是大概五倍左右
218520	221480	而且就僅僅的過去的三天就突破了壹倍
222400	225120	就G-News很多來的
225120	226640	這新看的
226640	228120	就是按人頭算的
228120	229720	按IP算的
229720	231080	是GTV的四五倍
232640	234120	妳能想象到他們戰友們
235200	237520	而絕大多數
237520	240280	妳沒有想到的數據是讓妳驚訝的
240280	242080	GTV的數據流量
242080	244040	86%是在美國
245400	246440	美洲地區
247440	252280	而G-News將近80%
252280	255920	還有甚至有時候達到90%是來自內陸
257120	258720	大陸
258720	260760	說實話我們最在乎的是大陸啊
260760	261600	對吧
261600	263600	咱在乎的是大陸啊兄弟姐妹們
264800	266920	哎這個有意思了
266920	268520	這個有意思了
268520	272520	我們最想讓中國內部的大陸的戰友們看到聽到真相啊
272520	273520	對吧
273520	274800	那最後我們就有意思了
275160	276160	哎
276160	277520	清晰不清晰啊
278520	279440	聲音怎麽樣啊
284960	286440	我倆覺得這個顏色不好啊
291440	292080	聲音好
292080	293760	聲音也可以
293760	294600	色彩呢
300680	302960	畫面卡的肯定在國內呢
302960	304000	畫面不可能卡
305360	308040	畫面卡絕對是妳自己的網絡問題
308040	308760	我現在可以
309840	310720	保證了啊
322080	323240	色彩自然
324600	325640	色彩自然
326640	327880	色彩真是自然嗎
334800	335800	嗯
347560	348560	太自然了
353200	356320	剛才我喝了果汁怎麽老覺得有點塞牙的感覺
358880	360560	我是有一點不自在的不行
362040	363520	這個G-News啊
363520	366600	這個在國內這個數據這個影響是很大的
366600	368680	這很重要的啊
368680	371080	是來源於最近啊
371080	373520	我們這個鐵血團啊
373520	374520	大衛兄弟
374520	377080	鐵血團的老班長啊
377080	379840	這個大老班長負責後台技術啊
379840	380920	管理經營
380920	382560	現在就是啊
382560	383640	這個運作啊
383640	385880	主要是靠我們大衛兄弟
385880	388480	然後更重要的是我們背後的啊
388480	389600	無數個義工
390480	391360	無數個義工
392360	394360	G-News的成本很低
394360	397520	是GTV的幾百分之壹
398840	400960	GTV每個月運行下來
400960	402960	現在沒個兩百萬美元
402960	404840	妳是運行不下來的啊
404840	406080	兩百萬啊
406080	408720	那麽現在G-News也就是幾十萬美元啊
408720	411440	幾十萬美元就運行了下來了
411440	412960	但是這個數據啊
412960	416560	影響力現在就是非常之巨大
416560	417400	所以說為啥
417400	420720	這最近好幾家這個投資機構都描著
420760	423240	G-News發股吧
423240	425840	咱們弄壹下子這幫傢伙不傻
425840	428120	因為世界上現在什麽都公開了
428120	428480	對吧
428480	430200	這數據都是公開的
430200	431800	影響力大家都知道的
432680	434200	這麽多義工啊
434200	435320	付出那麽多
435320	437480	這就是我們永遠不能忘了任何義工
440200	442560	永遠不能忘了任何義工
444120	446640	那麽G-News的義工們
446640	450160	七哥在這塊對妳們表示衷心的感謝
450160	453880	同時G-News後臺的管理這個更新
453880	457280	還有這個老班長代理等技術團隊
457280	460400	絕大多數是我們這個神秘的戰友
460400	462360	這說明了咱們過去兩三年啊
462360	464200	七哥犯了很大的錯誤
464200	465440	就這個爛流氓
465440	466840	這個下三濫啊
466840	470160	這個九指腰當時讓他在這塊攙扶
470160	474600	這簡直花了三四次的這個寫作費用
475600	477520	給戰給所有給他的錢
477520	478880	他全給給戰友的錢
478920	479720	他全給吞了
481440	484280	妳去想想他這個不要臉到啥程度啊
484280	486520	這壹開始壹直說沒拿過壹份錢
486520	487800	最後說這十幾萬
487800	489080	那十幾萬
489080	491040	最後戰友問他錢壹句話給妳打發過去了
491040	492000	我把錢給義工了
493280	494800	他沒有回答壹個問題
494800	496840	妳不是說沒拿過錢嗎
496840	498360	那妳怎麽拿了兩三年的錢
498360	499200	拿了這十幾萬
499200	499920	那十幾萬的
500920	501800	妳給義工了
501800	503240	妳給哪個義工了
505560	507360	這就像他不要臉壹樣
507360	507920	妳說啥
507920	509400	他永遠說人家的不對
509400	512040	他永遠不回答他自己的問題
512040	517880	就他自己篡改銀行票據提供虛假證據
517880	519520	他就不能回答大家
519520	521520	就妳說說妳老說說妳自己
521520	522680	別老說別人
524160	526760	這個爛貨摟到了極點
526760	529200	每天在那個壹百多個托兒面前
529200	530320	喃喃自語
530320	533160	壹會給這個熊憲民舔舔釘
533160	535840	壹會給那個博訊韋石舔舔釘
535840	537480	壹會給龜頭羊是吧
537480	539480	舔舔這舔舔那的是吧
539480	541280	還給什麽雞腿潘舔舔
541280	542680	妳說這個不要臉的東西
543920	546160	就是讓七哥真的是啊
546160	549480	感受到就G-News被他虐到這個程度
549480	550280	我沒感覺
551760	554080	所以G-News有幾個義工給我發信息的時候
554080	555000	發的我壹下子
555000	557840	我從屋裏直接走到量財上去了
557840	558720	我受不了
