start	end	text
800	8100	戰友們好 今天是2021年1月17號
8600	11100	這今天是個好日子 是個大日子
14540	18300	兄弟姐妹們 今天是個大日子 是個好日子 1月17號
18700	22800	今天真的是很多方面都是個大日子
23540	27800	這個有些話我還真是 因為涉及到私人生活吧
27800	31800	真是不說了 但是確實是個大日子 很高興
32800	36100	那麼今天兄弟姐妹們 剛才看了這個視頻以後
36400	38800	親愛的兄弟姐妹們 你們什麼感受呢?
40300	41800	什麼感受 兄弟姐妹們?
43300	49600	兩萬五千里長征 距離我們今天看視頻的人好像很遙遠
51800	56000	和今天美國總統大選有沒有一曲同工之妙?
58600	61900	現在是多米尼盜取了美國的總統的權利
63200	65800	當年的兩萬五千里長征
67500	71600	所謂的兩萬五千里長征 把萬人剩六千人
72900	75600	這是為什麼當年習近平的父親習仲勳
76500	81300	在西北 西北四軍 當時的高崗等
82300	88500	當時他們厲害 剛才是跟那回民 馬家軍對抗
89300	92700	最後是他們把共產黨起死回生
93000	97000	他們那叫逃跑 用曾慶紅的媽的話說 那叫逃跑 逃竄
98200	100200	走到哪吃到哪 偷雞摸狗
101200	104100	有一次不到一個地主家去 偷人家的豬
104300	108500	結果地主帶著一幫長工 把他們給打得落花流水
109500	114100	根本不存在什麼盧溝橋 什麼費 什麼之戰
114500	119700	全是用鄧小平的話說 我們需要戲劇性 也就是需要這個騙局
120900	124900	共產黨當他要撒謊的時候呢 詐騙的時候 他叫戲劇性
126600	130900	我們老百姓連貸款 他要說你是貸款的時候
130900	134400	他把錢還給你 你給他15%的利息 他說你是騙貸
135400	140400	這個世界上 共產黨信奉的是 他拳頭硬就說了算
140400	145800	真理出在拳頭裡 真理出在槍桿子裡 從來沒改變過
147400	149800	中國人70年了 有反抗嗎?
152400	156800	從當時的兩萬五千里長征到1949年
157400	161800	到今天2021年 中國人有反抗嗎?
161800	166800	中國人有反抗嗎?這個騙局 被美國總統的騙局大不大?
169400	171400	對人類的影響大不大?
172400	176800	說美國盜取了總統權利 中國盜取了國家權利
179000	183000	到了70年了 我們中國人都閉著眼睛 閉著嘴
183800	186800	而一次一次的被他殺害家人 親人
187800	191800	有誰說話?戰友今天的憤怒和勇敢呢?
193800	196800	如果一個美國人說 你好好看看你們的國家政權
196800	202800	被盜取多少年了 你怎麼不回去呢?你怎麼不解決呢?
202800	204800	你咋不跟他出招啊?
206800	210800	所以說我們戰友們 千萬不要做口炮黨了 兄弟姐妹們
211800	215800	我任何時間 過去的30年 怎麼過來的兄弟姐妹們知道嗎?
217800	223800	當我被眼前的物質生活 被任何東西所誘惑的時候
224800	229800	我就看兩樣東西 我就看看共產黨撒過的謊
230800	232800	特別是殺害兩百萬地主
234800	237800	和共產黨當年一開始的時候
237800	241800	當年一開始的時候 農村包圍城市之前
242800	246800	和井岡山還有到延安這段時間和兩萬五千里長征
248800	250800	殺了兩百萬地主的共產黨
251800	255800	最後餓死了四千萬人官方數據 實際上餓死一億人
257800	260800	最後是計劃生育 還給全世界說
260800	264800	我們給你們解決了地球上的人口暴升的災難
265800	267800	沒有人想像過 他養不起呀
269800	272800	就像現在一個窮人家裡面生十個孩子 你養不起呀
273800	275800	可摩門教美國人你生的孩子給你獎勵呀
277800	282800	因為人家養得起 因為這個國家需要人民強大
283800	288800	共產黨把養不起說成了人口控制世界的貢獻
288800	290800	它叫人口計劃生育
291800	294800	不要說別人 我的家人 我旁邊的人
294800	297800	我所經歷幾十年經歷的計劃生育
297800	301800	在我的老家 我親自到現場看過多少次
301800	304800	每年搞計劃生育 多少人被抓被砍
305800	307800	多少人到現場把孩子從陰道裡邊
307800	311800	從子宮裡邊給掏出來 當場摔死 我親自見過多次
315800	317800	再看看當年被殺害的地主
317800	323800	後來 共產黨把國民黨給引到所謂的抗日戰爭
325800	330800	又把國民黨的內部的這些傻貨們給騙回來
330800	335800	讓他們投了所謂的共產黨 包括北京城的傅卓毅
337800	339800	最後是什麼結局 兄弟姐妹們
340800	344800	共產黨比美國今天盜的大 騙的大
344800	349800	盜取了當年人類上三分之一的人民的權利
350800	352800	而且一盜就七十年
353800	356800	我們的祖宗 我們的爺爺
356800	360800	我們的父母 我們的兄弟姐妹們 都知道
361800	365800	甚至我們也知道 我們選擇了忽視
365800	369800	看不見 找藉口 不面對
369800	372800	當我們今天 我們爆料革命
372800	375800	新中國聯邦在七十年以後誕生的時候
375800	378800	在美國 你看我們多少人在這裡
