start	end	text
0	4400	我每天过得糊涂糊涂的 4月25号了啊 25号了
4400	11000	兄弟姐妹好啊 天呐 天呐 天呐 天呐 天呐
18200	21400	这个今天本来是没有直播的啊
21400	25000	在这个九点多钟还没有直播呢
25000	28600	这个这很多战友发信息 哎呀 七哥有没有直播呀
28800	33200	这个能不能直播聊聊我们的联盟委员会要开会
33200	36200	但是我约了一个会啊 约了也是今天
36200	38400	这个说要聊个40分钟啊
38400	42800	聊聊这个欧洲还有印度 亚洲冠状病毒的事情
42800	46400	包括这个解药的事情啊 我临时给取消了
46400	49400	取消了我这马上这个把这个直播打开
49400	51600	咱要开始直播
51600	56200	所以说 兄弟姐妹们先向大家问早安 早安
56200	59000	你看我这鼻子啊 昨天我发了个盖特
59000	62200	边看真人真事节目啊 边录了盖特
62200	66000	结果就是这个鼻敏感啊 就流鼻涕了
70200	75600	然后呢 就有那个鼻涕 所以就删了
75600	79600	多恶心人呐 好恶心人呐 天呐
81000	86000	但是今天这个直播啊 我再给大家乱聊一下啊
86000	90800	就是昨天咱们有这个战友呢 亲身经历了
90800	94600	就是这个过去两三天来国内的毛省
94600	99600	包括上海啊 还有东北的毛省 北方的毛省
99600	105200	这个原来当地上可以说代表王岐山势力的纪委
105200	110600	还有监察什么什么特别什么巡视组的人被抓
110600	114800	咱这个战友告诉说 被抓的其中有一个人
115000	120200	这个人是跟陈峰非常好的啊 这个跟陈峰聊天
120200	124400	这哥们有录像啊 这哥们有录像 就跟陈峰聊天
124400	129600	那陈峰就把他当孙子一样啊 但是整谁怎么整啊
129600	133000	到哪个省去弄地啊 你弄几千亩地
133000	136400	这事全给弄出来了 就这你能看得到
136400	140200	就现在国内啊 这个风雨逍遥啊
140200	143000	大家都不知道谁是下一个被抓起来啊
143000	147800	而且不管不光如此 更夸张的事情
147800	151800	大家看到了 我们过去三四年一直在说的事情
151800	156400	那就是说现在国内到底谁是老大
156400	161000	那很多人都知道曾庆红是老大
161000	164600	曾庆红谁敢动啊 曾庆红不是谁敢动的
164600	169000	中国真正的现在权力的一级啊 不是习
169000	171200	权力的最重要一级是曾
171400	174600	就姜老爷子他毕竟老了 所谓的老佛爷
174600	178800	刘彦平过去成为老佛爷的人 毕竟老了
178800	182200	老佛爷现在老了 他家里这些政治资产
182200	186200	俩儿子孙子咱撑不起来的 光韩正也弄不起来
186200	191400	谁啊 那只能是曾庆红 就曾庆红能承上启下
191400	195000	上有曾六金 曾三 是吧 下有自己弟弟
195000	199800	曾庆阳 曾庆怀 曾海生 大叶
199800	203800	还有其他的军方的这几个大佬
207200	211400	所以说他又是国安组织出身 又是国家副主席
211400	216200	而且当时是名副基石的
216200	219800	在邓小平之后的真正的掌门人
219800	224300	这就是曾 而且是真正的红二代 是吧
224300	231000	那是毋庸置疑的 恨习的红二代都会跟着曾
231000	235300	对江不满的 包括对江不满的 对邓不满的
235300	238200	对习不满的都会跟着曾
238200	243500	曾是真正的在国内就共产主义根红苗正
243500	246900	做人做事做到家的 除了他儿子跟他不争气之外
246900	249900	这家伙是做的是最好的
249900	253900	而且此人比较沉稳 除了儿子这个毛病
253900	256200	你还找不出多大毛病出来
256200	259600	所以说在整个上海摊 上海帮
259600	263700	因为他从广东到上海 在上海干的非常好 是吧
263700	266400	包括在六四事件前后
266400	271200	这个人把握的在党内维护共产主义的所谓的形象
271200	274500	维护共产党的政权 是了不的的
274500	277600	所以说这个以共灭共
277600	280700	最关键要看到就曾出不出手
280800	285300	我给大家说了 曾都是每年都在福建过的 冬天
285300	287300	然后王岐山都到海南
287300	291000	为了他俩避免接触让习大神敏感
291000	292500	王岐山取消了海南
292500	296000	但这次海南之行 私下里面
296000	300700	包括在福建私下都有勾兑
300700	304100	福建这个地方 真正的绝对不是习大神的江山
304100	309000	福建的地方第一江山是谁的 是贾庆林的
309100	312800	贾庆林完了 应该说并列是贾增的
312800	316800	贾增完才轮到习 这是基本的
316800	319700	这个现在现在卢展峰这人都是后去的
319700	321600	他都不行的
321600	324000	那么同时咱们兄弟姐妹们也能看到
324000	328200	就是国内现在的经济民生到了什么程度
328200	332400	现在习大神一个人对内 抗全部共产党员
332400	335000	九千万党员都基本都是他敌人了
335000	337500	他现在不是孤家寡人了
337500	340900	他是孤家险人 最危险的人
340900	342900	那么再看看现在海外
342900	349100	一人挑战所有的全世界的力量 军事力量
349100	351900	那么同时又放了冠状病毒
351900	353400	已经拿下了香港
353400	355000	他们现在一点不避讳
355000	357500	而且还要拿下台湾
357500	359500	我给我拿个东西
388000	391800	现在最重要的兄弟姐妹们看到这个病毒的变化
391800	394400	特别是他现在对这个挑战全世界
394400	397500	在香港 在这个台湾要拿台湾
397500	404900	对世界的军事国际政治经济带来的这种威胁
404900	407100	特别是现在拜登要访问欧洲
407100	411100	他访问欧洲绝对不是什么不是美国优先那么简单
411100	414300	联盟优先 他要干啥
414300	417100	首先一点他要团结的就是英国
417100	420000	这个传统的5万亿美元GDP
420000	422300	一定要想到GDP
422300	424500	这个国家的GDP和它的军事实力
424500	428200	它是和行动力它是直接关系
428200	430600	然后到了这个整个啊
430600	433000	包括比利时 布鲁塞尔这种地方
433000	435900	他都是有他的国际这个金融组织
435900	437000	国际贸易组织
437000	440400	这些国际机构国际治理
440400	442300	你不能说是拜登都是错的
442300	443900	他这是有道理的
443900	445700	美国你别看美国优先
445700	450100	你美国优先你整个川普总统本人
450100	452900	在他的内心世界里面
452900	455600	他没有想过说一刀致命啊
455600	458200	我干掉共产党他从来没想过
458200	461400	甚至他来政权更迭
461400	462300	他都没想过
463300	464200	他都没有想过
464200	467000	大家一定要记住这个我今天跟你说的话
467000	469900	这不是说千万我再说一遍
469900	473300	这个世界上最可怕的就是你爱错了
473300	474600	你恨错了
476000	478200	爱恨情仇
478200	480200	你变成了爱情冤案
480200	482800	冤的别人恨的害的是自己
484100	485900	我们很喜欢川普总统
485900	488200	但是你必须尊重事实啊
488200	492400	他从来没有说内心里说下决心或想象过
492400	493800	我一刀白共产党干掉
493800	495000	我把共产党政权跟你没有
495000	496100	什么时候才开始的
497300	498900	真正让他开始的是
498900	502100	在他快下台的半年前
502100	503200	不超过十个月
503200	506000	他说这个共产党这家伙有问题
506000	507500	原来他在想什么
507500	510100	想把共产党给弄弱
510100	512100	给弄的别那么牛叉
512100	513900	他没想把他给推翻
513900	517100	他也没想说把他的政权更迭
517100	519100	他就这个十个月犹犹豫豫
519100	521200	也就冠状病毒开始后
521200	523800	大流行后他开始犹豫
523800	527200	特别是我们的科学家严立孟博士
527200	529800	还有路德访谈119
529800	531500	这些事情对他触动非常大
532400	534400	我说的话都是经得起
534400	536400	可以去验证去
536400	538400	千万别小看了119
538400	540400	别小看了我们博士集团
540400	542400	别小看了我们科学家
542400	544400	这就是为什么说
544400	546400	媒体的力量有这么大
546400	548400	就是科学家的这个
548400	550400	整个论文证据
550400	552400	这些报告出来以后
552400	554400	把路德访谈的东西让他看过
554400	556400	据我所知
556400	558400	你们在班农先生的
558400	560400	战斗史节目也能感受得到
560400	562400	他身边所有人都看过N变
562400	564400	也都在论证
564400	566400	美国的这些生化科学家
566400	568400	也对科学家的这个报告
568400	570400	进行认证研究
570400	572400	包括这个119访谈
572400	574400	那么再一个就是由于我们
574400	576400	爆料革命过去积累了四年的经验
576400	578400	我们博士
578400	580400	军团路德访谈科学家
580400	582400	报告包括整个
582400	584400	这个枪律魁
584400	586400	包括这个整个后来的整个病情
586400	588400	的发展无一样
588400	590400	不在我们的预告
590400	592400	和警告之中
592400	594400	他是一个国家体制
594400	596400	人家想弄明白很容易是吧
596400	598400	他们获得了各种情报
598400	600400	他们都证明了我们说的是对的
600400	602400	在这种情况下
602400	604400	任何人他没有选择
604400	606400	不要说川普
606400	608400	就是拜登就是亨特拜登当上总统
608400	610400	亨特拜登就坐到拜登的椅子
610400	612400	把他跌踢一边去
612400	614400	他也得想办法
614400	616400	共产党找你算账的事
616400	618400	共产党算账的时候
618400	620400	你能不能算得了账
620400	622400	你算得了账吗
622400	624400	你算得起吗
