start	end	text
0	8000	我正在看這個真人真事兒,卡麗吉講的太長了,我的妹妹啊,
8000	12000	這成了哪事兒訪問了,這是考問,這是敘事啊,
12000	16000	但是都講的特別好,特別特別好啊。
16000	22000	這個,我在這個一段時間,幾個月前,
22000	25000	而且我特別在近這個30天前,
25000	33000	在印度的病情啊,這個持續增加瘋狂的死人的情況下,
33000	35000	我一再的提醒,
35000	38000	臺灣同胞,還有日本的朋友們,
38000	42000	一定會讓你開始的,而且澳大利亞,
42000	44000	就是共產黨這個放逐,
44000	46000	如果你要不相信的話,你根本不要看我的視頻,
46000	48000	你看視頻浪費時間,對吧?
48000	51000	共產黨的計劃,還有內部的情報,
51000	56000	他們早在就是今年的2月份的時候,就很明確,
56000	60000	要在世界上打好病毒的輿論戰,
60000	63000	就讓美國背鍋。
63000	68000	然後呢,又最近要打好這個冠狀病毒的所謂的下半場戰爭,
68000	73000	就是所謂的法律戰,誰弄到他告誰,嚇唬誰,
73000	76000	像對七哥一樣,超限戰。
76000	81000	然後呢,同時要把冠狀病毒這個生化戰,
81000	89000	延伸到所有的對共產黨有威脅的任何群體,
89000	91000	和國家主體裡面去。
91000	95000	在打贏臺灣這場戰爭當中,
95000	99000	第一手段就是超限中的生物戰,生化戰,
99000	101000	就是臺灣冠狀病毒。
101000	103000	對香港已經,大家知道,
103000	106000	香港所有的病毒指示都是假的。
108000	111000	特別是臺灣要小心的是什麼人,
111000	117000	臺灣要小心的是臺灣在大陸已經被藍金黃的人,
117000	122000	像那個什麼有些歌星啊,什麼藝人啊,
122000	125000	在大陸混的,混多少年的那幫王八蛋,
125000	129000	這都是可能是蠍毒的,幫助放毒的這幫分子。
129000	131000	而且你很難想象,
131000	133000	就共產黨一給他們錢,給個幾億臺幣,
133000	135000	那更玩似的,是吧?
135000	138000	那麼這些人是什麼都幹得出來的,
138000	140000	像那個劉家昌這種孫子,
140000	142000	你現在你讓他在臺灣好多年,
142000	145000	在大陸不能回臺灣,不要說給幾億臺幣,
145000	147000	你給他幾個糖葫蘆這個孫子,
147000	149000	他這幹把臺灣人全殺了。
149000	152000	這個劉家昌就是個大流氓,混蛋至極。
153000	157000	包括就是被收買的那些將軍和家人們,
157000	159000	他有把柄在人家手裡抓著,
159000	161000	讓他幹啥,他幹啥。
161000	163000	臺灣這個不是一二十利的感覺,
163000	165000	我非常擔心臺灣。
165000	168000	然後就是日本,然後是澳大利亞,
168000	170000	然後就澳大利亞。
170000	172000	所以這個印度是眼中釘,
172000	174000	結果把印度搞成那麼慘。
174000	176000	然後是肉中刺,
176000	179000	那就是日本,他不會放過你的。
179000	181000	然後必吃之肉,
181000	183000	就是這已經是嘴裡的肉了,
183000	184000	那就是臺灣。
184000	186000	那你想想,他為了吃到肉,
186000	188000	什麼都幹得出來。
188000	190000	接下來會在美國繼續跑。
191000	195000	美國如果不是給他一個逆轉型的,
195000	198000	所謂在親共的政策出現搞貿易的話,
198000	200000	一定還會再跑。
200000	204000	所以說現在病毒並沒有消去,
204000	207000	病毒的原因並沒有找到。
207000	211000	然後病毒的疫苗根本就是禍害,
211000	212000	那又沒有解藥。
212000	214000	你告訴我大家你有什麼理由,
214000	217000	你有什麼理由,你放鬆警惕呢。
217000	220000	首先做好最壞時刻的到來,
220000	223000	同時全部努力以毒滅共,
223000	228000	和全世界人民廣泛傳播病毒的真相。
228000	232000	然後鼓勵和幫助那些勇敢的,
232000	234000	像我們閆麗夢博士,
234000	236000	像我們的這個塞琳博士,
236000	238000	還像這個戰鬥史,
238000	240000	還有無數個農場的戰友們,
240000	242000	這些默默無聞的戰友們,
242000	245000	尋找出的這些關於冠狀病毒的信息,
245000	247000	廣泛的去傳播,
247000	250000	讓大家都意識到這是一場生物戰爭,
250000	253000	不要以身試毒啊,
253000	255000	以身試毒的後果是很慘的,
255000	257000	你命就一條,你失者幹什麼呢。
257000	259000	所以說兄弟姐妹們,
259000	261000	當我們去做這些事情的時候,
261000	262000	應該是無欲無求,
262000	264000	不要在乎任何人怎麼反饋你,
264000	266000	也不要在乎人家聽不聽你,
266000	267000	他聽不聽你是他的事,
267000	269000	你做不做是你的事。
269000	270000	更重要的事情,
270000	271000	我們要注意到,
271000	274000	就是一定勇敢的大聲的,
274000	276000	喊出來你心中的擔憂,
276000	278000	和你知道的真相,
278000	280000	就已足夠也。
280000	281000	做好事,
281000	282000	不問因果。
290000	291000	哎呀,我的娘呢。
301000	304000	我這個,好多了現在,
304000	305000	好多了好多了,
305000	307000	基本上就好多了,
307000	308000	這個藥,
308000	310000	戰友們所有給我推薦的藥,
310000	311000	基本上我都有,
311000	312000	沒有沒有,
312000	313000	除了中藥我不吃,
313000	315000	我所有都有了,
315000	316000	謝謝兄弟姐妹們,
316000	318000	千萬千萬別給我推薦藥,
318000	319000	很多人給我寄到了藥,
319000	320000	沒辦法,
320000	321000	你寄多少藥,
321000	323000	保安都得扔掉,
323000	324000	安保的人都得扔掉,
324000	325000	都浪費,
325000	326000	抱歉抱歉。
331000	332000	這種,
